num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.988525390625, 0.989013671875, 0.9833984375, 0.98876953125, 0.989013671875, 0.99169921875, 0.990966796875, 0.991943359375, 0.991943359375, 0.99462890625]","[0.8156301975250244, 0.8145713806152344, 0.8199907541275024, 0.8338309526443481, 0.8584215641021729, 0.8995899558067322, 0.9474954605102539, 0.9753649830818176, 0.9798427820205688, 0.9831994771957397]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3097810745239258, 0.3105542063713074, 0.305080771446228, 0.2884737253189087, 0.25529608130455017, 0.19258403778076172, 0.10848617553710938, 0.06779179722070694, 0.07272110879421234, 0.06950368732213974]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.909423828125, 0.9130859375, 0.916259765625, 0.92578125, 0.933349609375, 0.928955078125, 0.92919921875, 0.932373046875, 0.93017578125, 0.935546875]","[0.7529222965240479, 0.7709565162658691, 0.7999991178512573, 0.841876745223999, 0.8679727911949158, 0.8643399477005005, 0.8543716073036194, 0.852424681186676, 0.8431416749954224, 0.8471024632453918]","[0.26169711351394653, 0.2175264060497284, 0.17889449000358582, 0.13792255520820618, 0.1109943762421608, 0.11798786371946335, 0.11141519993543625, 0.11034705489873886, 0.12476196885108948, 0.11326929181814194]","[0.15979991853237152, 0.13205185532569885, 0.11148326098918915, 0.0959802120923996, 0.08656014502048492, 0.08757118135690689, 0.0786999985575676, 0.0777147114276886, 0.08544963598251343, 0.0756189152598381]","[0.19424906373023987, 0.17658352851867676, 0.14943130314350128, 0.1124267503619194, 0.09577974677085876, 0.09744367748498917, 0.09311135858297348, 0.09340482950210571, 0.10210730880498886, 0.09878270328044891]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.81103515625, 0.8095703125, 0.838623046875, 0.83740234375, 0.8505859375, 0.84423828125, 0.854736328125, 0.850341796875, 0.855712890625, 0.858642578125]","[0.6740384101867676, 0.6991908550262451, 0.7384766340255737, 0.7562763690948486, 0.755670428276062, 0.7350929975509644, 0.7287757396697998, 0.7207882404327393, 0.7159386277198792, 0.714717447757721]","[0.18437016010284424, 0.12989434599876404, 0.10580272972583771, 0.10158994793891907, 0.09533604979515076, 0.09819266200065613, 0.09127657115459442, 0.09078343212604523, 0.0971226766705513, 0.09885268658399582]","[0.14374297857284546, 0.10306771099567413, 0.09308647364377975, 0.09538082778453827, 0.09035602957010269, 0.083849236369133, 0.07457906752824783, 0.07444758713245392, 0.0792643129825592, 0.08030550181865692]","[0.14157861471176147, 0.12484468519687653, 0.11463943868875504, 0.1077035516500473, 0.09996277093887329, 0.09770801663398743, 0.09899933636188507, 0.1011887639760971, 0.10935141146183014, 0.1118321418762207]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.6875, 0.690673828125, 0.727783203125, 0.719970703125, 0.740234375, 0.711181640625, 0.724365234375, 0.726318359375, 0.73193359375, 0.73388671875]","[0.58880615234375, 0.6088890433311462, 0.6342755556106567, 0.6320919990539551, 0.6345251798629761, 0.6096265912055969, 0.6013317704200745, 0.5950839519500732, 0.5904865264892578, 0.5933045148849487]","[0.13845166563987732, 0.10699285566806793, 0.08997571468353271, 0.08205647021532059, 0.07096737623214722, 0.07115155458450317, 0.07202623039484024, 0.06702175736427307, 0.0702979639172554, 0.07099074125289917]","[0.1293698251247406, 0.11048857867717743, 0.09903067350387573, 0.08815696835517883, 0.07134196162223816, 0.0665072500705719, 0.06592470407485962, 0.06154046952724457, 0.06444399058818817, 0.06526115536689758]","[0.12567126750946045, 0.1266489326953888, 0.11959820240736008, 0.10926777124404907, 0.09652365744113922, 0.08980162441730499, 0.09617501497268677, 0.09742698818445206, 0.10278592258691788, 0.10172571241855621]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.990478515625, 0.988525390625, 0.982177734375, 0.98486328125, 0.987060546875, 0.990234375, 0.986328125, 0.987060546875, 0.9892578125, 0.98876953125]","[0.8171367645263672, 0.8142623901367188, 0.8176370859146118, 0.830794095993042, 0.8544632792472839, 0.8894650936126709, 0.9317640662193298, 0.9665440917015076, 0.9761282801628113, 0.9768704175949097]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.30870428681373596, 0.31078094244003296, 0.30703258514404297, 0.2912066578865051, 0.2588665783405304, 0.20611165463924408, 0.13315708935260773, 0.0776425451040268, 0.07091811299324036, 0.06948219239711761]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.9111328125, 0.912109375, 0.915283203125, 0.921875, 0.933349609375, 0.93017578125, 0.924072265625, 0.92724609375, 0.927978515625, 0.935791015625]","[0.7538356781005859, 0.7706878185272217, 0.7986992001533508, 0.8387913703918457, 0.8698194026947021, 0.8706795573234558, 0.8560112714767456, 0.8546806573867798, 0.8463923931121826, 0.848656177520752]","[0.257821261882782, 0.21723780035972595, 0.18028639256954193, 0.14524604380130768, 0.1094304695725441, 0.11360418796539307, 0.11905250698328018, 0.12138870358467102, 0.12139461934566498, 0.11688800156116486]","[0.1571294665336609, 0.13207878172397614, 0.11391941457986832, 0.10000906139612198, 0.08160260319709778, 0.08908586204051971, 0.08943156898021698, 0.08865572512149811, 0.08433651924133301, 0.08133406937122345]","[0.19331321120262146, 0.17644189298152924, 0.14980357885360718, 0.11497059464454651, 0.09413373470306396, 0.09203340858221054, 0.09284882247447968, 0.09559169411659241, 0.09805844724178314, 0.09752870351076126]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.8125, 0.810546875, 0.83935546875, 0.83740234375, 0.854248046875, 0.859130859375, 0.845703125, 0.85107421875, 0.857177734375, 0.858154296875]","[0.6750679016113281, 0.6997393369674683, 0.7396425604820251, 0.7555557489395142, 0.7575947642326355, 0.7506067752838135, 0.7291637063026428, 0.7236574292182922, 0.7191513180732727, 0.7151809930801392]","[0.18046703934669495, 0.1311052441596985, 0.10594426095485687, 0.10267207771539688, 0.08837959170341492, 0.08403729647397995, 0.08974996209144592, 0.09152177721261978, 0.09179408103227615, 0.09479977935552597]","[0.14028266072273254, 0.10429473221302032, 0.09432988613843918, 0.09712328761816025, 0.08323001861572266, 0.07460474967956543, 0.07563382387161255, 0.0764278769493103, 0.07504798471927643, 0.07805022597312927]","[0.140224426984787, 0.12546893954277039, 0.11467306315898895, 0.10799304395914078, 0.09565854072570801, 0.08725519478321075, 0.09442110359668732, 0.09959729015827179, 0.10572626441717148, 0.10891296714544296]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.68603515625, 0.692626953125, 0.72607421875, 0.724609375, 0.74462890625, 0.74267578125, 0.729248046875, 0.72705078125, 0.736572265625, 0.73583984375]","[0.5883679389953613, 0.6094520092010498, 0.6326920986175537, 0.6346239447593689, 0.6366692781448364, 0.6258881688117981, 0.6114896535873413, 0.6019878387451172, 0.6001840829849243, 0.602211058139801]","[0.137416273355484, 0.10823335498571396, 0.09097646176815033, 0.0817280039191246, 0.0648934617638588, 0.05989568680524826, 0.06233701482415199, 0.06129990518093109, 0.06462355703115463, 0.061728253960609436]","[0.12828803062438965, 0.11227069050073624, 0.10055837035179138, 0.0883447676897049, 0.06606345623731613, 0.056609176099300385, 0.05781586095690727, 0.05683346092700958, 0.05939013883471489, 0.05739348381757736]","[0.1252087652683258, 0.12700505554676056, 0.11992453783750534, 0.10901233553886414, 0.091207355260849, 0.07773754745721817, 0.08447664976119995, 0.08768394589424133, 0.09282249212265015, 0.08843536674976349]"
4,"[0.9867830480639376, 0.013186836788287368, 3.0114228761716865e-05, 9.190133289098164e-10]",0.99,"[[1.0, -0.0005084912991151214, 0.030851935967803, -0.029157893732190132], [1.0, -0.23583708703517914, -2.348829507827759, 1.7162108421325684], [1.0, -0.7210590839385986, -1.5265498161315918, -1.9596105813980103], [1.0, -1.043879747390747, 0.013949032872915268, -0.01441963855177164]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.4828088879585266, 0.0], [0.0, 0.0, 0.0, 0.4358814060688019]]","[[0.9867830276489258, 0.013186836615204811, 3.0114228138700128e-05, 9.190133098968545e-10], [0.9530087113380432, 0.007294266950339079, -0.00073099514702335, -0.959571897983551], [0.27958425879478455, -0.2657155990600586, -0.2385246753692627, 0.22465594112873077], [-0.06325779855251312, 0.21164470911026, -0.3253093659877777, 0.1769224852323532]]","[[0.9912718390211143, 0.006535300351512861, 0.0006119982269123785, 0.0015808624004604796], [0.3998963065567104, 0.47113860085283993, 0.027343931193151205, 0.10162116139729849], [0.1544488720224792, 0.02304270568260681, 0.4542177769838273, 0.36829064531108663], [0.0041853146273919525, 0.002528882556360533, 0.0012238098828676667, 0.9920619929333798]]",0.10019589166550917,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.98046875, 0.981201171875, 0.97705078125, 0.981201171875, 0.982666015625, 0.9853515625, 0.986083984375, 0.980224609375, 0.987548828125, 0.985595703125]","[0.8111703395843506, 0.8102016448974609, 0.8149776458740234, 0.8354148268699646, 0.8698575496673584, 0.9147853255271912, 0.9545250535011292, 0.9675118923187256, 0.9725571870803833, 0.9699181318283081]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3129587471485138, 0.3134772777557373, 0.3076929450035095, 0.28277379274368286, 0.2353799045085907, 0.16484905779361725, 0.10120774805545807, 0.08208966255187988, 0.08553387969732285, 0.09085637331008911]"
4,"[0.9867830480639376, 0.013186836788287368, 3.0114228761716865e-05, 9.190133289098164e-10]",0.99,"[[1.0, -0.0005084912991151214, 0.030851935967803, -0.029157893732190132], [1.0, -0.23583708703517914, -2.348829507827759, 1.7162108421325684], [1.0, -0.7210590839385986, -1.5265498161315918, -1.9596105813980103], [1.0, -1.043879747390747, 0.013949032872915268, -0.01441963855177164]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.4828088879585266, 0.0], [0.0, 0.0, 0.0, 0.4358814060688019]]","[[0.9867830276489258, 0.013186836615204811, 3.0114228138700128e-05, 9.190133098968545e-10], [0.9530087113380432, 0.007294266950339079, -0.00073099514702335, -0.959571897983551], [0.27958425879478455, -0.2657155990600586, -0.2385246753692627, 0.22465594112873077], [-0.06325779855251312, 0.21164470911026, -0.3253093659877777, 0.1769224852323532]]","[[0.9912718390211143, 0.006535300351512861, 0.0006119982269123785, 0.0015808624004604796], [0.3998963065567104, 0.47113860085283993, 0.027343931193151205, 0.10162116139729849], [0.1544488720224792, 0.02304270568260681, 0.4542177769838273, 0.36829064531108663], [0.0041853146273919525, 0.002528882556360533, 0.0012238098828676667, 0.9920619929333798]]",0.10019589166550917,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.902587890625, 0.909423828125, 0.91259765625, 0.9208984375, 0.9326171875, 0.93359375, 0.93017578125, 0.927001953125, 0.927001953125, 0.935791015625]","[0.7489936351776123, 0.7685205340385437, 0.7961581349372864, 0.8391726016998291, 0.8680388927459717, 0.8696869015693665, 0.8591947555541992, 0.8500430583953857, 0.8426347970962524, 0.847829282283783]","[0.27304139733314514, 0.2255217730998993, 0.1892232745885849, 0.147365540266037, 0.10992604494094849, 0.11291081458330154, 0.11063344776630402, 0.1176229864358902, 0.11845952272415161, 0.11691011488437653]","[0.16692319512367249, 0.13731113076210022, 0.12051919102668762, 0.10550457239151001, 0.08449037373065948, 0.0869641900062561, 0.08212465047836304, 0.08344321697950363, 0.08215931802988052, 0.08067497611045837]","[0.19729462265968323, 0.17873217165470123, 0.15209534764289856, 0.1145072877407074, 0.09370411932468414, 0.09339158236980438, 0.0913909375667572, 0.09577827155590057, 0.09941529482603073, 0.09997484087944031]"
