num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.98486328125, 0.982666015625, 0.98828125, 0.991455078125, 0.99365234375, 0.9931640625, 0.991455078125, 0.98681640625, 0.991943359375, 0.99462890625]","[0.5216898918151855, 0.5281319618225098, 0.5446624755859375, 0.5783352255821228, 0.6370991468429565, 0.7256279587745667, 0.8384504318237305, 0.930625319480896, 0.9722156524658203, 0.979957640171051]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5269788503646851, 0.522270917892456, 0.5088337063789368, 0.47846847772598267, 0.4222477674484253, 0.334499716758728, 0.22424152493476868, 0.1330341398715973, 0.093294158577919, 0.08435139060020447]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.908203125, 0.904541015625, 0.87890625, 0.915771484375, 0.930419921875, 0.9365234375, 0.9365234375, 0.933349609375, 0.93310546875, 0.945068359375]","[0.5266714096069336, 0.572983980178833, 0.6498702168464661, 0.7789329886436462, 0.8520428538322449, 0.8642677664756775, 0.8610522150993347, 0.8530951738357544, 0.855652928352356, 0.8671029806137085]","[0.8370800018310547, 0.7229820489883423, 0.5630170106887817, 0.2943732440471649, 0.15130384266376495, 0.10652736574411392, 0.10142549872398376, 0.10541278123855591, 0.10416097193956375, 0.08672813326120377]","[0.48474782705307007, 0.42010876536369324, 0.33508729934692383, 0.18083690106868744, 0.10693120956420898, 0.073457270860672, 0.07058288156986237, 0.07380030304193497, 0.07175992429256439, 0.06083620339632034]","[0.38392555713653564, 0.34387391805648804, 0.26946350932121277, 0.16808214783668518, 0.10856543481349945, 0.08785390853881836, 0.08407653868198395, 0.08813975751399994, 0.0895339772105217, 0.08297564089298248]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.810546875, 0.80810546875, 0.81396484375, 0.844482421875, 0.85888671875, 0.85888671875, 0.844482421875, 0.81982421875, 0.807373046875, 0.8408203125]","[0.5343673229217529, 0.5936203002929688, 0.679199755191803, 0.7461541891098022, 0.7534523010253906, 0.7428416013717651, 0.7349178791046143, 0.7139027118682861, 0.7055513262748718, 0.7154836058616638]","[0.4150437116622925, 0.3088543117046356, 0.19511905312538147, 0.1029539406299591, 0.08636624366044998, 0.0895136222243309, 0.10550206899642944, 0.12468867003917694, 0.150319904088974, 0.12772619724273682]","[0.31876325607299805, 0.23799428343772888, 0.15806874632835388, 0.09169220924377441, 0.07523994147777557, 0.07502730935811996, 0.08706559240818024, 0.10256503522396088, 0.123085156083107, 0.10440163314342499]","[0.2827451527118683, 0.22368505597114563, 0.1614634096622467, 0.11103499680757523, 0.0974251925945282, 0.09661538898944855, 0.10695067048072815, 0.11743152141571045, 0.12975051999092102, 0.12166962772607803]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.681396484375, 0.685302734375, 0.72216796875, 0.7197265625, 0.738525390625, 0.719970703125, 0.69970703125, 0.7177734375, 0.6904296875, 0.68017578125]","[0.533083438873291, 0.5689100027084351, 0.6062495112419128, 0.6178398132324219, 0.6187641620635986, 0.6103966236114502, 0.608242392539978, 0.6064856648445129, 0.5976548790931702, 0.5897170305252075]","[0.17980098724365234, 0.13844960927963257, 0.09013450890779495, 0.07564206421375275, 0.07050743699073792, 0.07700862735509872, 0.08486732840538025, 0.08667886257171631, 0.10159808397293091, 0.10298601537942886]","[0.16689199209213257, 0.13104936480522156, 0.08932643383741379, 0.07463587075471878, 0.06816653162240982, 0.0729878842830658, 0.07980002462863922, 0.08273623883724213, 0.09683385491371155, 0.09756424278020859]","[0.17548717558383942, 0.15274211764335632, 0.11606153845787048, 0.10462631285190582, 0.10035023838281631, 0.10170570760965347, 0.10716225951910019, 0.11062030494213104, 0.12062376737594604, 0.12336607277393341]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.928466796875, 0.936767578125, 0.955322265625, 0.96044921875, 0.96923828125, 0.97265625, 0.970703125, 0.972412109375, 0.97265625, 0.975830078125]","[0.5160174369812012, 0.5461654663085938, 0.605197012424469, 0.7061676979064941, 0.8293992877006531, 0.9043354988098145, 0.9201610088348389, 0.927329421043396, 0.9272952079772949, 0.9256049990653992]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.530661940574646, 0.5086138844490051, 0.4604625701904297, 0.36917874217033386, 0.2532484829425812, 0.18368026614189148, 0.17059284448623657, 0.16341328620910645, 0.163885235786438, 0.17033784091472626]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.860107421875, 0.858154296875, 0.85302734375, 0.885009765625, 0.89111328125, 0.8984375, 0.89599609375, 0.8955078125, 0.898681640625, 0.8984375]","[0.5207808017730713, 0.575369119644165, 0.6570790410041809, 0.7688363790512085, 0.8034182786941528, 0.8110308647155762, 0.8081957101821899, 0.8082022666931152, 0.802708089351654, 0.7965184450149536]","[0.8582961559295654, 0.7258198261260986, 0.5531574487686157, 0.3168165385723114, 0.22686320543289185, 0.2150195837020874, 0.21568910777568817, 0.215165376663208, 0.22679638862609863, 0.22799667716026306]","[0.4979010820388794, 0.4243699908256531, 0.33753740787506104, 0.2103215456008911, 0.1586044877767563, 0.15086588263511658, 0.15042263269424438, 0.14884009957313538, 0.15735898911952972, 0.1550617516040802]","[0.3881620466709137, 0.34246957302093506, 0.26622292399406433, 0.1763395369052887, 0.13899092376232147, 0.1315351128578186, 0.1324779987335205, 0.1338518261909485, 0.13991808891296387, 0.1452891081571579]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.772216796875, 0.763671875, 0.7666015625, 0.793701171875, 0.7978515625, 0.79931640625, 0.797607421875, 0.79541015625, 0.789306640625, 0.794677734375]","[0.5288569927215576, 0.5840882062911987, 0.6515872478485107, 0.6988211870193481, 0.6903024911880493, 0.6895826458930969, 0.6915764808654785, 0.6885498762130737, 0.6806847453117371, 0.6796391010284424]","[0.4319586753845215, 0.33313989639282227, 0.24498477578163147, 0.1853392869234085, 0.17647258937358856, 0.17104396224021912, 0.18958213925361633, 0.182978093624115, 0.19511917233467102, 0.18770259618759155]","[0.3321940004825592, 0.25920945405960083, 0.2001233845949173, 0.1629798710346222, 0.14887478947639465, 0.1408296674489975, 0.15959849953651428, 0.1528593897819519, 0.1629629135131836, 0.15567652881145477]","[0.28799811005592346, 0.23158030211925507, 0.18170085549354553, 0.14643025398254395, 0.1417524367570877, 0.13877911865711212, 0.14514634013175964, 0.14268139004707336, 0.15065789222717285, 0.14879590272903442]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.658447265625, 0.64208984375, 0.670166015625, 0.6689453125, 0.660888671875, 0.66748046875, 0.666259765625, 0.659912109375, 0.66943359375, 0.66748046875]","[0.5284900665283203, 0.5549492835998535, 0.5819613933563232, 0.5858487486839294, 0.5774126648902893, 0.5716465711593628, 0.5790755748748779, 0.578630268573761, 0.5800915360450745, 0.5727742910385132]","[0.19092848896980286, 0.16008134186267853, 0.12763041257858276, 0.12364201992750168, 0.12811917066574097, 0.12068171799182892, 0.12970435619354248, 0.12905380129814148, 0.1271708607673645, 0.1294306218624115]","[0.17731031775474548, 0.15246830880641937, 0.12429973483085632, 0.11943629384040833, 0.1209595650434494, 0.11349431425333023, 0.12164304405450821, 0.12321467697620392, 0.12024877965450287, 0.12101979553699493]","[0.18137648701667786, 0.16376112401485443, 0.13823701441287994, 0.13445675373077393, 0.1383904069662094, 0.1338631957769394, 0.13506536185741425, 0.1357547640800476, 0.13600865006446838, 0.14039447903633118]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.70556640625, 0.756591796875, 0.825439453125, 0.84912109375, 0.8623046875, 0.858642578125, 0.851806640625, 0.853759765625, 0.8544921875, 0.858154296875]","[0.49325060844421387, 0.5719248056411743, 0.6645324230194092, 0.7195991277694702, 0.7336585521697998, 0.7355493903160095, 0.7385798096656799, 0.729704737663269, 0.7242208123207092, 0.7280537486076355]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5454343557357788, 0.4880925416946411, 0.41515910625457764, 0.3680838346481323, 0.3589514493942261, 0.35643309354782104, 0.3533628284931183, 0.3620866537094116, 0.3686176538467407, 0.3660653829574585]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.671875, 0.69580078125, 0.750244140625, 0.769287109375, 0.78466796875, 0.7939453125, 0.790283203125, 0.7802734375, 0.785400390625, 0.79638671875]","[0.4978313446044922, 0.5657203197479248, 0.6294482350349426, 0.6588220596313477, 0.6608213186264038, 0.6669307947158813, 0.6687744855880737, 0.6634000539779663, 0.6617379784584045, 0.6644843220710754]","[0.9485617876052856, 0.7776443958282471, 0.6300799250602722, 0.5591061115264893, 0.5343869924545288, 0.5395644307136536, 0.5278201103210449, 0.5474064350128174, 0.5442673563957214, 0.5362302660942078]","[0.5545302629470825, 0.4657682776451111, 0.3998836278915405, 0.36472287774086, 0.342826783657074, 0.3523579239845276, 0.34653401374816895, 0.35679352283477783, 0.3530977666378021, 0.34516915678977966]","[0.4059521555900574, 0.350040465593338, 0.2958519756793976, 0.26755839586257935, 0.2667809724807739, 0.2656058669090271, 0.2587812542915344, 0.26644062995910645, 0.26835042238235474, 0.2696702182292938]"
