num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.019287109375, 0.04150390625, 0.0810546875, 0.15185546875, 0.2744140625, 0.462158203125, 0.711181640625, 0.91455078125, 0.98779296875, 0.994140625]","[0.34198570251464844, 0.35259246826171875, 0.37616801261901855, 0.4241766333580017, 0.5057333707809448, 0.6324882507324219, 0.8010766506195068, 0.9370347261428833, 0.9869917631149292, 0.9923100471496582]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6443440914154053, 0.6366764307022095, 0.6181727051734924, 0.5766369700431824, 0.5008052587509155, 0.37438854575157166, 0.20906037092208862, 0.07470861077308655, 0.026244964450597763, 0.0194582249969244]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.091552734375, 0.239990234375, 0.4697265625, 0.724609375, 0.8994140625, 0.9423828125, 0.940185546875, 0.936767578125, 0.93896484375, 0.943115234375]","[0.36395978927612305, 0.425616979598999, 0.5511204600334167, 0.735615611076355, 0.8725236058235168, 0.9085825681686401, 0.9066638350486755, 0.9001283645629883, 0.896504282951355, 0.9040564298629761]","[1.4495404958724976, 1.2564417123794556, 0.8961840271949768, 0.4399815797805786, 0.14477351307868958, 0.07470749318599701, 0.07750104367733002, 0.07865256816148758, 0.08077844977378845, 0.07632390409708023]","[0.863689661026001, 0.7482019662857056, 0.5370059609413147, 0.2685624063014984, 0.10159149765968323, 0.06445348262786865, 0.06941679865121841, 0.07551360130310059, 0.07257088273763657, 0.0658651813864708]","[0.505362868309021, 0.45767834782600403, 0.3501701056957245, 0.18594899773597717, 0.09000802040100098, 0.07403211295604706, 0.07680021226406097, 0.0798921063542366, 0.081844262778759, 0.07911357283592224]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.1943359375, 0.4189453125, 0.6884765625, 0.830078125, 0.869873046875, 0.866455078125, 0.862060546875, 0.852294921875, 0.858642578125, 0.861328125]","[0.3960261344909668, 0.4856753349304199, 0.6276192665100098, 0.7496735453605652, 0.7930982112884521, 0.7893582582473755, 0.78118896484375, 0.7627343535423279, 0.7685731649398804, 0.768480658531189]","[0.8083036541938782, 0.586816668510437, 0.29907283186912537, 0.1029438003897667, 0.06888635456562042, 0.07212671637535095, 0.07792425155639648, 0.08741873502731323, 0.08751243352890015, 0.09386932849884033]","[0.6253565549850464, 0.45192891359329224, 0.23281309008598328, 0.08623650670051575, 0.0684032142162323, 0.07022695243358612, 0.07417020201683044, 0.0846300721168518, 0.08299168944358826, 0.08606091141700745]","[0.40701213479042053, 0.32270175218582153, 0.19785112142562866, 0.10119204223155975, 0.09326213598251343, 0.09435999393463135, 0.09407392889261246, 0.09962507337331772, 0.10125184059143066, 0.10383397340774536]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.301025390625, 0.488037109375, 0.67529296875, 0.72998046875, 0.754638671875, 0.74072265625, 0.733642578125, 0.729736328125, 0.7353515625, 0.729248046875]","[0.4305558204650879, 0.5006184577941895, 0.5828297138214111, 0.6280679702758789, 0.6449804902076721, 0.6310054063796997, 0.6286954879760742, 0.6191391348838806, 0.620729923248291, 0.6240136623382568]","[0.41752272844314575, 0.259006142616272, 0.12136350572109222, 0.07016608119010925, 0.061357125639915466, 0.06265998631715775, 0.065009206533432, 0.07133328169584274, 0.07353738695383072, 0.08147870749235153]","[0.3877211809158325, 0.23736335337162018, 0.11347121000289917, 0.06979462504386902, 0.06336283683776855, 0.06282225251197815, 0.06318370252847672, 0.06886758655309677, 0.07194574922323227, 0.08138243108987808]","[0.30247044563293457, 0.2174062728881836, 0.13671572506427765, 0.10441041737794876, 0.098344586789608, 0.09530128538608551, 0.09552615880966187, 0.09985922276973724, 0.10195569694042206, 0.10901549458503723]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.096435546875, 0.1728515625, 0.31640625, 0.526611328125, 0.775634765625, 0.933837890625, 0.9697265625, 0.97412109375, 0.97265625, 0.9755859375]","[0.36663150787353516, 0.406848669052124, 0.49018394947052, 0.6282315254211426, 0.7974300980567932, 0.9212561845779419, 0.9534909129142761, 0.9598760604858398, 0.9589347839355469, 0.9633827805519104]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6278606653213501, 0.5980237722396851, 0.5326460599899292, 0.41481560468673706, 0.26372388005256653, 0.14142203330993652, 0.10385698080062866, 0.09394896030426025, 0.09472036361694336, 0.09133446216583252]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.156982421875, 0.325927734375, 0.577392578125, 0.79736328125, 0.887939453125, 0.903564453125, 0.8984375, 0.905517578125, 0.9052734375, 0.90087890625]","[0.38491129875183105, 0.4614109992980957, 0.5974206328392029, 0.7549988627433777, 0.825431227684021, 0.8430582284927368, 0.8463562726974487, 0.8486578464508057, 0.8494908809661865, 0.8512287735939026]","[1.3765792846679688, 1.1466412544250488, 0.7637070417404175, 0.3767441511154175, 0.2123524248600006, 0.18608063459396362, 0.18174847960472107, 0.17218731343746185, 0.17296281456947327, 0.17139016091823578]","[0.8197516202926636, 0.6835747361183167, 0.46300411224365234, 0.2452443540096283, 0.1607004851102829, 0.14381907880306244, 0.14581790566444397, 0.1377393901348114, 0.13728919625282288, 0.13535217940807343]","[0.48909440636634827, 0.4300769567489624, 0.3161531090736389, 0.18014198541641235, 0.12460439652204514, 0.10916910320520401, 0.10360062122344971, 0.10255710780620575, 0.10348890721797943, 0.10062837600708008]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.24609375, 0.4560546875, 0.697509765625, 0.798583984375, 0.8125, 0.810791015625, 0.808837890625, 0.807861328125, 0.817138671875, 0.818115234375]","[0.41309022903442383, 0.502526044845581, 0.6268055438995361, 0.7130471467971802, 0.7198282480239868, 0.7164618968963623, 0.7178910970687866, 0.7130150198936462, 0.7153273820877075, 0.7242544889450073]","[0.7655879259109497, 0.5444551706314087, 0.29544925689697266, 0.16818834841251373, 0.16003763675689697, 0.1553831398487091, 0.16182664036750793, 0.15715345740318298, 0.15343883633613586, 0.1510443389415741]","[0.5925333499908447, 0.41971448063850403, 0.23443442583084106, 0.1467798948287964, 0.14477795362472534, 0.1351793259382248, 0.14286071062088013, 0.13606348633766174, 0.1328425109386444, 0.13156886398792267]","[0.39214712381362915, 0.3077268600463867, 0.19955974817276, 0.13441437482833862, 0.13408568501472473, 0.12859946489334106, 0.12763763964176178, 0.12699732184410095, 0.126686230301857, 0.12272126972675323]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.333251953125, 0.499755859375, 0.654052734375, 0.689208984375, 0.686279296875, 0.673095703125, 0.684814453125, 0.68017578125, 0.685546875, 0.670166015625]","[0.44205260276794434, 0.506822943687439, 0.5752002000808716, 0.6008522510528564, 0.6000124216079712, 0.5851725339889526, 0.5904769897460938, 0.5845234394073486, 0.5915530920028687, 0.5937002897262573]","[0.3947094678878784, 0.24600061774253845, 0.1335238814353943, 0.10932904481887817, 0.11656275391578674, 0.11216308176517487, 0.11218228936195374, 0.11493250727653503, 0.12008213251829147, 0.12561815977096558]","[0.36665552854537964, 0.2263372838497162, 0.12660449743270874, 0.10720671713352203, 0.11448974907398224, 0.10627683997154236, 0.10551679879426956, 0.10836774110794067, 0.11475345492362976, 0.12192279100418091]","[0.2888713479042053, 0.2099885195493698, 0.14440840482711792, 0.12770488858222961, 0.13080498576164246, 0.12794777750968933, 0.1260751634836197, 0.12831975519657135, 0.13007330894470215, 0.13455358147621155]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.35302734375, 0.499755859375, 0.70947265625, 0.836181640625, 0.876708984375, 0.874755859375, 0.869873046875, 0.871337890625, 0.8720703125, 0.866455078125]","[0.44655442237854004, 0.5297658443450928, 0.6411927938461304, 0.7231343388557434, 0.7682108879089355, 0.7789880633354187, 0.783866286277771, 0.7806545495986938, 0.7778974771499634, 0.7737947702407837]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5745433568954468, 0.5128287076950073, 0.4277838170528412, 0.36317694187164307, 0.32614821195602417, 0.31538647413253784, 0.3092305660247803, 0.3128594160079956, 0.3161197304725647, 0.31844425201416016]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.3720703125, 0.52880859375, 0.708251953125, 0.773193359375, 0.8076171875, 0.812255859375, 0.8076171875, 0.805419921875, 0.803466796875, 0.801025390625]","[0.4532742500305176, 0.5349145531654358, 0.623823881149292, 0.6707360148429871, 0.6942917704582214, 0.703850507736206, 0.7061636447906494, 0.696780264377594, 0.7001380920410156, 0.7018656730651855]","[1.1449040174484253, 0.9068337082862854, 0.6629230976104736, 0.5411908030509949, 0.47885656356811523, 0.47396278381347656, 0.46350041031837463, 0.48891565203666687, 0.4757360517978668, 0.4855911135673523]","[0.6817286610603333, 0.5499438047409058, 0.4212838411331177, 0.36371704936027527, 0.3272669315338135, 0.32841768860816956, 0.324649453163147, 0.3355143666267395, 0.32589271664619446, 0.3370298743247986]","[0.43755945563316345, 0.3730805516242981, 0.30258089303970337, 0.2565135955810547, 0.2359541356563568, 0.23147571086883545, 0.22485598921775818, 0.23499824106693268, 0.2321198433637619, 0.2316061556339264]"
