num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.02294921875, 0.04443359375, 0.084716796875, 0.168212890625, 0.30712890625, 0.529541015625, 0.79052734375, 0.953369140625, 0.990234375, 0.994140625]","[0.3432769775390625, 0.35416221618652344, 0.37817537784576416, 0.4327348470687866, 0.5240980386734009, 0.6746712327003479, 0.8524705171585083, 0.9621853232383728, 0.9870219826698303, 0.9915161728858948]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6434795260429382, 0.6354962587356567, 0.6165162920951843, 0.5700365304946899, 0.4865725636482239, 0.3380318582057953, 0.16303832828998566, 0.05399030074477196, 0.031030815094709396, 0.025333520025014877]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.093994140625, 0.241455078125, 0.467041015625, 0.727294921875, 0.896240234375, 0.937744140625, 0.9326171875, 0.935791015625, 0.934814453125, 0.9375]","[0.3646693229675293, 0.42635464668273926, 0.5503636598587036, 0.736535906791687, 0.8668345212936401, 0.9016851186752319, 0.8961093425750732, 0.896431565284729, 0.8922536373138428, 0.8961160778999329]","[1.4467999935150146, 1.2533432245254517, 0.9000393152236938, 0.44009900093078613, 0.15550927817821503, 0.08669960498809814, 0.08754455298185349, 0.08363454788923264, 0.09480144828557968, 0.08469443023204803]","[0.8620986342430115, 0.7463230490684509, 0.5389633774757385, 0.27018338441848755, 0.1103224977850914, 0.07373373955488205, 0.07801875472068787, 0.07490711659193039, 0.08145176619291306, 0.06835606694221497]","[0.5047447681427002, 0.4568905830383301, 0.3510891795158386, 0.18665024638175964, 0.09433938562870026, 0.07816597819328308, 0.07885511964559555, 0.07882333546876907, 0.08430477976799011, 0.07972041517496109]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.19580078125, 0.419921875, 0.682373046875, 0.8310546875, 0.865478515625, 0.850830078125, 0.858642578125, 0.856201171875, 0.85302734375, 0.848876953125]","[0.3966083526611328, 0.48665761947631836, 0.6256248950958252, 0.7492737174034119, 0.786666750907898, 0.7773299813270569, 0.7727633714675903, 0.7609761953353882, 0.7562541365623474, 0.755419135093689]","[0.8071958422660828, 0.5836846232414246, 0.3020274341106415, 0.10606007277965546, 0.0812559425830841, 0.08562253415584564, 0.08639256656169891, 0.0901416540145874, 0.09815716743469238, 0.0998421460390091]","[0.6245841979980469, 0.44951850175857544, 0.2347777783870697, 0.08924207836389542, 0.08030755817890167, 0.08182159066200256, 0.07963331788778305, 0.08321364223957062, 0.0903928205370903, 0.08875973522663116]","[0.40663450956344604, 0.3215314745903015, 0.199199378490448, 0.10274885594844818, 0.0982307568192482, 0.09971275925636292, 0.09738373756408691, 0.10040035098791122, 0.10475745052099228, 0.10545746237039566]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.30322265625, 0.49072265625, 0.673583984375, 0.72412109375, 0.756103515625, 0.7255859375, 0.7236328125, 0.73095703125, 0.72119140625, 0.712646484375]","[0.43140673637390137, 0.5012040138244629, 0.58355712890625, 0.6247670650482178, 0.643401026725769, 0.623910665512085, 0.6195549964904785, 0.6166051626205444, 0.6165046095848083, 0.6150615215301514]","[0.41669902205467224, 0.2569432258605957, 0.12195733189582825, 0.07214668393135071, 0.06854066252708435, 0.06997375935316086, 0.07201868295669556, 0.07614969462156296, 0.0824846476316452, 0.08567434549331665]","[0.3870213031768799, 0.23553088307380676, 0.11389348655939102, 0.07156337797641754, 0.0704769492149353, 0.06997643411159515, 0.06951918452978134, 0.07335159927606583, 0.07941483706235886, 0.08452154695987701]","[0.3018565773963928, 0.21639546751976013, 0.13730989396572113, 0.10549222677946091, 0.10193748772144318, 0.10022952407598495, 0.10051032900810242, 0.10309875011444092, 0.10904157161712646, 0.11086413264274597]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.020263671875, 0.040283203125, 0.082275390625, 0.162109375, 0.29150390625, 0.491943359375, 0.7392578125, 0.93359375, 0.98779296875, 0.988525390625]","[0.3422508239746094, 0.35210156440734863, 0.3753819465637207, 0.42537176609039307, 0.5088911056518555, 0.6452372074127197, 0.8151972889900208, 0.9471265077590942, 0.9845464825630188, 0.985981822013855]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6441688537597656, 0.6370232105255127, 0.6190872192382812, 0.5775784254074097, 0.505033016204834, 0.37731310725212097, 0.2056143879890442, 0.07222652435302734, 0.035739317536354065, 0.029920969158411026]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.092041015625, 0.239501953125, 0.466064453125, 0.721923828125, 0.89501953125, 0.936279296875, 0.9287109375, 0.933349609375, 0.928466796875, 0.93359375]","[0.3639976978302002, 0.4249536991119385, 0.548215925693512, 0.7307234406471252, 0.8613247871398926, 0.8968145847320557, 0.8884537220001221, 0.8906102180480957, 0.8779201507568359, 0.8826949596405029]","[1.4488513469696045, 1.2574949264526367, 0.9028186798095703, 0.452229380607605, 0.16214653849601746, 0.09421534091234207, 0.09873044490814209, 0.09888724982738495, 0.10448618233203888, 0.10435302555561066]","[0.8632767200469971, 0.7488685846328735, 0.5413145422935486, 0.27824920415878296, 0.1134178638458252, 0.07924537360668182, 0.08494334667921066, 0.08647635579109192, 0.08366657048463821, 0.0833849161863327]","[0.505243182182312, 0.4580684006214142, 0.3522748053073883, 0.1909864991903305, 0.09656719118356705, 0.07660746574401855, 0.07785970717668533, 0.07728761434555054, 0.08023686707019806, 0.07998615503311157]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.19482421875, 0.41845703125, 0.681640625, 0.826904296875, 0.85986328125, 0.860107421875, 0.843994140625, 0.8486328125, 0.852294921875, 0.83544921875]","[0.39605116844177246, 0.4848780632019043, 0.6250752210617065, 0.7456678152084351, 0.7814986705780029, 0.7784653902053833, 0.7604861259460449, 0.7488510608673096, 0.7413083910942078, 0.7218834161758423]","[0.8077731728553772, 0.587020218372345, 0.3032616972923279, 0.11177772283554077, 0.08107048273086548, 0.08526583015918732, 0.09349900484085083, 0.09762122482061386, 0.10156509280204773, 0.13101300597190857]","[0.6249540448188782, 0.45207497477531433, 0.23600682616233826, 0.09458361566066742, 0.07847407460212708, 0.08088929951190948, 0.08597564697265625, 0.08616466820240021, 0.08606556057929993, 0.11042116582393646]","[0.40688759088516235, 0.3228761553764343, 0.19946371018886566, 0.1048271581530571, 0.09737290441989899, 0.09714837372303009, 0.09581103175878525, 0.09731367230415344, 0.10218551754951477, 0.11892424523830414]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.3017578125, 0.48779296875, 0.670654296875, 0.72607421875, 0.74755859375, 0.741455078125, 0.724853515625, 0.71630859375, 0.729736328125, 0.708984375]","[0.43101072311401367, 0.5003833770751953, 0.5811326503753662, 0.6251317262649536, 0.6399991512298584, 0.6289995312690735, 0.6188244819641113, 0.5990796089172363, 0.5990379452705383, 0.5911070704460144]","[0.4170166850090027, 0.2582111358642578, 0.1233014389872551, 0.07433083653450012, 0.06897489726543427, 0.06937537342309952, 0.07109178602695465, 0.07840985059738159, 0.08633775264024734, 0.09433738142251968]","[0.3872597813606262, 0.23656177520751953, 0.11519084870815277, 0.0737280398607254, 0.07043353468179703, 0.06843677163124084, 0.06736955046653748, 0.0725100114941597, 0.08003421872854233, 0.08835048973560333]","[0.30219876766204834, 0.21703805029392242, 0.13804149627685547, 0.10660446435213089, 0.10161574184894562, 0.09853875637054443, 0.09714174270629883, 0.10415488481521606, 0.11265017092227936, 0.12012762576341629]"
4,"[0.9867830480639376, 0.013186836788287368, 3.0114228761716865e-05, 9.190133289098164e-10]",0.99,"[[1.0, -0.0005084912991151214, 0.030851935967803, -0.029157893732190132], [1.0, -0.23583708703517914, -2.348829507827759, 1.7162108421325684], [1.0, -0.7210590839385986, -1.5265498161315918, -1.9596105813980103], [1.0, -1.043879747390747, 0.013949032872915268, -0.01441963855177164]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.4828088879585266, 0.0], [0.0, 0.0, 0.0, 0.4358814060688019]]","[[0.9867830276489258, 0.013186836615204811, 3.0114228138700128e-05, 9.190133098968545e-10], [0.9530087113380432, 0.007294266950339079, -0.00073099514702335, -0.959571897983551], [0.27958425879478455, -0.2657155990600586, -0.2385246753692627, 0.22465594112873077], [-0.06325779855251312, 0.21164470911026, -0.3253093659877777, 0.1769224852323532]]","[[0.9912718390211143, 0.006535300351512861, 0.0006119982269123785, 0.0015808624004604796], [0.3998963065567104, 0.47113860085283993, 0.027343931193151205, 0.10162116139729849], [0.1544488720224792, 0.02304270568260681, 0.4542177769838273, 0.36829064531108663], [0.0041853146273919525, 0.002528882556360533, 0.0012238098828676667, 0.9920619929333798]]",0.10019589166550917,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.0244140625, 0.047119140625, 0.107666015625, 0.225341796875, 0.4130859375, 0.646728515625, 0.872314453125, 0.974609375, 0.989013671875, 0.98388671875]","[0.3429107666015625, 0.35373735427856445, 0.3863554000854492, 0.4631161689758301, 0.5896726250648499, 0.7505566477775574, 0.9047342538833618, 0.9733452796936035, 0.9839856028556824, 0.9800432920455933]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6437584757804871, 0.6360458135604858, 0.6113571524620056, 0.5474256873130798, 0.43237361311912537, 0.27547353506088257, 0.1197003573179245, 0.04805003106594086, 0.039560265839099884, 0.04047638922929764]"
4,"[0.9867830480639376, 0.013186836788287368, 3.0114228761716865e-05, 9.190133289098164e-10]",0.99,"[[1.0, -0.0005084912991151214, 0.030851935967803, -0.029157893732190132], [1.0, -0.23583708703517914, -2.348829507827759, 1.7162108421325684], [1.0, -0.7210590839385986, -1.5265498161315918, -1.9596105813980103], [1.0, -1.043879747390747, 0.013949032872915268, -0.01441963855177164]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.4828088879585266, 0.0], [0.0, 0.0, 0.0, 0.4358814060688019]]","[[0.9867830276489258, 0.013186836615204811, 3.0114228138700128e-05, 9.190133098968545e-10], [0.9530087113380432, 0.007294266950339079, -0.00073099514702335, -0.959571897983551], [0.27958425879478455, -0.2657155990600586, -0.2385246753692627, 0.22465594112873077], [-0.06325779855251312, 0.21164470911026, -0.3253093659877777, 0.1769224852323532]]","[[0.9912718390211143, 0.006535300351512861, 0.0006119982269123785, 0.0015808624004604796], [0.3998963065567104, 0.47113860085283993, 0.027343931193151205, 0.10162116139729849], [0.1544488720224792, 0.02304270568260681, 0.4542177769838273, 0.36829064531108663], [0.0041853146273919525, 0.002528882556360533, 0.0012238098828676667, 0.9920619929333798]]",0.10019589166550917,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.0947265625, 0.2421875, 0.473388671875, 0.734130859375, 0.900390625, 0.941162109375, 0.93408203125, 0.93115234375, 0.9345703125, 0.9365234375]","[0.36425065994262695, 0.42540431022644043, 0.5506879091262817, 0.7381407022476196, 0.8691406846046448, 0.9056398868560791, 0.8983863592147827, 0.8898556232452393, 0.8830411434173584, 0.8874056339263916]","[1.4472241401672363, 1.2549011707305908, 0.895134687423706, 0.4337058663368225, 0.14724038541316986, 0.08326955139636993, 0.0861196368932724, 0.09404787421226501, 0.09396477788686752, 0.10613919794559479]","[0.8625414371490479, 0.747342586517334, 0.536675214767456, 0.26851168274879456, 0.10568416863679886, 0.0714322105050087, 0.07451160252094269, 0.08370548486709595, 0.07950684428215027, 0.08735376596450806]","[0.5049453973770142, 0.4578031897544861, 0.350866436958313, 0.18478325009346008, 0.08841398358345032, 0.07270191609859467, 0.07628299295902252, 0.08037497103214264, 0.08189669251441956, 0.08422372490167618]"
