num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.990478515625, 0.9873046875, 0.992919921875, 0.993408203125, 0.984619140625, 0.9794921875, 0.961181640625, 0.88623046875, 0.9345703125, 0.98583984375]","[0.6874375343322754, 0.6897945404052734, 0.7024648189544678, 0.7208054661750793, 0.7574895024299622, 0.7987898588180542, 0.8458770513534546, 0.8464227914810181, 0.9116072654724121, 0.9464250802993774]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.41315436363220215, 0.41095373034477234, 0.39783066511154175, 0.3764580190181732, 0.3299892842769623, 0.281623899936676, 0.23527753353118896, 0.22131070494651794, 0.16138361394405365, 0.14051850140094757]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.879150390625, 0.857421875, 0.858154296875, 0.87841796875, 0.906494140625, 0.8974609375, 0.92919921875, 0.922607421875, 0.934814453125, 0.9453125]","[0.6357691287994385, 0.6505509614944458, 0.70298832654953, 0.7649365067481995, 0.8312668204307556, 0.8399313688278198, 0.8642479181289673, 0.8606798648834229, 0.873716413974762, 0.8720557689666748]","[0.5189849138259888, 0.4997616410255432, 0.4024893045425415, 0.28937914967536926, 0.20252764225006104, 0.19945284724235535, 0.12358570098876953, 0.11728988587856293, 0.08365865051746368, 0.08003585040569305]","[0.31323015689849854, 0.30521324276924133, 0.24725404381752014, 0.17910853028297424, 0.1390504539012909, 0.14060625433921814, 0.09087787568569183, 0.08665379881858826, 0.06292498111724854, 0.05837206542491913]","[0.30001676082611084, 0.28537365794181824, 0.23382222652435303, 0.17832955718040466, 0.12299507111310959, 0.11603721976280212, 0.09497755765914917, 0.08646517992019653, 0.07094860821962357, 0.07560572773218155]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.7470703125, 0.73486328125, 0.785400390625, 0.832275390625, 0.845947265625, 0.8466796875, 0.843505859375, 0.843994140625, 0.864013671875, 0.865234375]","[0.5766191482543945, 0.6066819429397583, 0.6851693987846375, 0.7473663091659546, 0.7739963531494141, 0.7678982615470886, 0.7532693147659302, 0.7405146360397339, 0.7570185661315918, 0.7589187622070312]","[0.3340775668621063, 0.2884444296360016, 0.1891927421092987, 0.11442461609840393, 0.10275959968566895, 0.10443929582834244, 0.10508225113153458, 0.09605022519826889, 0.08228036761283875, 0.08461779356002808]","[0.26813459396362305, 0.23322826623916626, 0.15649272501468658, 0.102227583527565, 0.09893357753753662, 0.09995302557945251, 0.09276965260505676, 0.08232926577329636, 0.07377003878355026, 0.07683155685663223]","[0.245979443192482, 0.20844197273254395, 0.15612590312957764, 0.11465118080377579, 0.11007307469844818, 0.11209344863891602, 0.10432642698287964, 0.10045318305492401, 0.09319551289081573, 0.0944703221321106]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.618896484375, 0.643798828125, 0.702392578125, 0.716552734375, 0.7041015625, 0.6962890625, 0.683837890625, 0.7041015625, 0.7138671875, 0.710693359375]","[0.5272445678710938, 0.5628433227539062, 0.6175507307052612, 0.6423006057739258, 0.6376361846923828, 0.6174603700637817, 0.6084402799606323, 0.6111990213394165, 0.614920973777771, 0.6142522096633911]","[0.20614951848983765, 0.16364803910255432, 0.1049598976969719, 0.09073033928871155, 0.11471433937549591, 0.12344126403331757, 0.10787950456142426, 0.08799991011619568, 0.08786524832248688, 0.09134412556886673]","[0.19924601912498474, 0.15884800255298615, 0.10822241008281708, 0.09996083378791809, 0.12773853540420532, 0.13427779078483582, 0.10948333144187927, 0.08420434594154358, 0.08619287610054016, 0.09236691147089005]","[0.18493621051311493, 0.15340283513069153, 0.12146416306495667, 0.1188693419098854, 0.13534623384475708, 0.13623499870300293, 0.12086232006549835, 0.10921638458967209, 0.11128069460391998, 0.11478438228368759]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.9541015625, 0.952880859375, 0.964111328125, 0.953857421875, 0.934326171875, 0.95263671875, 0.960205078125, 0.970947265625, 0.9716796875, 0.974609375]","[0.6719679832458496, 0.6876354217529297, 0.7260197997093201, 0.771263837814331, 0.83869469165802, 0.8942992687225342, 0.9229884147644043, 0.9286904335021973, 0.9312740564346313, 0.9250006675720215]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.42359596490859985, 0.41024249792099, 0.3685087263584137, 0.3147222399711609, 0.23769059777259827, 0.18379288911819458, 0.15752364695072174, 0.1601370871067047, 0.1578007936477661, 0.17138168215751648]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.8486328125, 0.8330078125, 0.83642578125, 0.850830078125, 0.8623046875, 0.889892578125, 0.889404296875, 0.89794921875, 0.89501953125, 0.901123046875]","[0.624422550201416, 0.646979808807373, 0.7003834843635559, 0.7468351125717163, 0.789157509803772, 0.8204061388969421, 0.8260930776596069, 0.8199477195739746, 0.8238399028778076, 0.8190687894821167]","[0.5572407245635986, 0.520421028137207, 0.44054877758026123, 0.3584326207637787, 0.28524249792099, 0.2300822138786316, 0.20887847244739532, 0.20571193099021912, 0.20609617233276367, 0.1992204785346985]","[0.33580321073532104, 0.31812214851379395, 0.28095197677612305, 0.23947128653526306, 0.20172221958637238, 0.1722007393836975, 0.15567661821842194, 0.14903339743614197, 0.15410970151424408, 0.14199230074882507]","[0.30874839425086975, 0.28731101751327515, 0.23821629583835602, 0.1988580822944641, 0.1533326506614685, 0.12399543076753616, 0.11466234177350998, 0.12299023568630219, 0.12075380980968475, 0.125076562166214]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.725830078125, 0.712158203125, 0.740234375, 0.76611328125, 0.754638671875, 0.79150390625, 0.7802734375, 0.7958984375, 0.80126953125, 0.796875]","[0.5697934627532959, 0.6003035306930542, 0.6554480791091919, 0.6844812631607056, 0.6811853647232056, 0.7000079154968262, 0.6954982280731201, 0.6918134689331055, 0.697766900062561, 0.6963983178138733]","[0.35238781571388245, 0.31040847301483154, 0.2584834098815918, 0.22915565967559814, 0.2308768630027771, 0.19429078698158264, 0.19706861674785614, 0.18438705801963806, 0.18278439342975616, 0.18869130313396454]","[0.2818002998828888, 0.2514044940471649, 0.21901407837867737, 0.2051703929901123, 0.20561102032661438, 0.16951879858970642, 0.16991671919822693, 0.15505367517471313, 0.1595403552055359, 0.1639365553855896]","[0.25241565704345703, 0.21569135785102844, 0.18359586596488953, 0.1657603234052658, 0.16457700729370117, 0.14530855417251587, 0.14199456572532654, 0.14249356091022491, 0.14342983067035675, 0.14729611575603485]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.607666015625, 0.615234375, 0.6474609375, 0.63134765625, 0.62255859375, 0.62841796875, 0.643310546875, 0.64453125, 0.66455078125, 0.656982421875]","[0.5253269672393799, 0.5525734424591064, 0.5863104462623596, 0.5852388739585876, 0.5743589997291565, 0.567833423614502, 0.5778554677963257, 0.5727435350418091, 0.5842472314834595, 0.5816339254379272]","[0.2109544575214386, 0.18075679242610931, 0.16259656846523285, 0.16414403915405273, 0.18501007556915283, 0.16406095027923584, 0.1456819772720337, 0.13561096787452698, 0.140859454870224, 0.1504341959953308]","[0.20317594707012177, 0.17645850777626038, 0.16715770959854126, 0.16940909624099731, 0.1925559639930725, 0.16299208998680115, 0.1393854022026062, 0.12817418575286865, 0.13831186294555664, 0.14847664535045624]","[0.18802255392074585, 0.16310825943946838, 0.1525939255952835, 0.15860891342163086, 0.16905666887760162, 0.15569448471069336, 0.14269232749938965, 0.1403452754020691, 0.14243453741073608, 0.14907705783843994]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.778564453125, 0.7470703125, 0.756103515625, 0.78662109375, 0.831298828125, 0.843505859375, 0.847412109375, 0.83349609375, 0.847900390625, 0.8505859375]","[0.5997841358184814, 0.6259068250656128, 0.6597597599029541, 0.6799813508987427, 0.7370118498802185, 0.7570087909698486, 0.7511391639709473, 0.7232916355133057, 0.7269818186759949, 0.7237864136695862]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.47227731347084045, 0.44806385040283203, 0.40939420461654663, 0.39720991253852844, 0.3502090573310852, 0.3294772207736969, 0.3376225531101227, 0.3648502230644226, 0.36322933435440063, 0.36729639768600464]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.70751953125, 0.686767578125, 0.677978515625, 0.712158203125, 0.74951171875, 0.75732421875, 0.767578125, 0.7490234375, 0.758544921875, 0.76611328125]","[0.5715856552124023, 0.5979217290878296, 0.6114745140075684, 0.6251308917999268, 0.6600021719932556, 0.678917646408081, 0.6734802722930908, 0.6492834091186523, 0.6578824520111084, 0.6567143201828003]","[0.7374083399772644, 0.7053293585777283, 0.7302396893501282, 0.6588823795318604, 0.5798999071121216, 0.5605030655860901, 0.541155993938446, 0.5919191837310791, 0.5662235021591187, 0.5734082460403442]","[0.4440295398235321, 0.43868395686149597, 0.4901278018951416, 0.43130460381507874, 0.39214447140693665, 0.3902336657047272, 0.36290132999420166, 0.38638466596603394, 0.370988130569458, 0.3760800063610077]","[0.34971559047698975, 0.3238868713378906, 0.3118957281112671, 0.29724135994911194, 0.2642403841018677, 0.24949480593204498, 0.25150126218795776, 0.2767489552497864, 0.268791139125824, 0.27368220686912537]"
