num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.568603515625, 0.553466796875, 0.556396484375, 0.55908203125, 0.55517578125, 0.574462890625, 0.588134765625, 0.596923828125, 0.60791015625, 0.611083984375]","[0.5351581573486328, 0.51804518699646, 0.5228976011276245, 0.5238794088363647, 0.5223865509033203, 0.5230511426925659, 0.5339078903198242, 0.5276437997817993, 0.5367231369018555, 0.5477588176727295]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5142558813095093, 0.5257829427719116, 0.5224341154098511, 0.5220158100128174, 0.5232120752334595, 0.5235389471054077, 0.5155298113822937, 0.5209199786186218, 0.5140856504440308, 0.5041294097900391]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.564453125, 0.537841796875, 0.547607421875, 0.545654296875, 0.5439453125, 0.556396484375, 0.56298828125, 0.575439453125, 0.58740234375, 0.59619140625]","[0.531226634979248, 0.512260913848877, 0.5161542296409607, 0.51799476146698, 0.515588641166687, 0.5164042115211487, 0.5244259834289551, 0.519281268119812, 0.5274852514266968, 0.5410174131393433]","[0.8882025480270386, 0.9500183463096619, 0.9212809205055237, 0.9207038879394531, 0.9244825839996338, 0.9111068844795227, 0.8941931128501892, 0.8915455341339111, 0.8784760236740112, 0.8822077512741089]","[0.5360256433486938, 0.5814309120178223, 0.5579728484153748, 0.554322361946106, 0.5545998811721802, 0.5408361554145813, 0.5319904088973999, 0.5224913358688354, 0.5228284597396851, 0.5464884638786316]","[0.37883460521698, 0.3928663730621338, 0.389167845249176, 0.389325350522995, 0.3903052806854248, 0.3905339241027832, 0.38371849060058594, 0.3885524272918701, 0.38114529848098755, 0.37049001455307007]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.550048828125, 0.524169921875, 0.5234375, 0.520751953125, 0.512939453125, 0.53076171875, 0.53076171875, 0.546630859375, 0.55224609375, 0.56201171875]","[0.5208141803741455, 0.5075564384460449, 0.5081220865249634, 0.5089086294174194, 0.5058537125587463, 0.5079358816146851, 0.5118374228477478, 0.5135085582733154, 0.5172520875930786, 0.5280559659004211]","[0.4844081401824951, 0.5154279470443726, 0.5018954873085022, 0.4990818500518799, 0.4975820779800415, 0.4866035282611847, 0.4838612675666809, 0.46738481521606445, 0.47169873118400574, 0.4869046211242676]","[0.37956202030181885, 0.41083312034606934, 0.3947063982486725, 0.38950878381729126, 0.3840399384498596, 0.3729187250137329, 0.37121015787124634, 0.35420548915863037, 0.3621983826160431, 0.38743317127227783]","[0.2944211959838867, 0.3056897521018982, 0.3053249716758728, 0.30513259768486023, 0.3067113757133484, 0.3051360249519348, 0.30062949657440186, 0.30148303508758545, 0.29740798473358154, 0.28795287013053894]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.5244140625, 0.5185546875, 0.504150390625, 0.50927734375, 0.493896484375, 0.52197265625, 0.503173828125, 0.534423828125, 0.51171875, 0.519287109375]","[0.5081121921539307, 0.5026682615280151, 0.5033791065216064, 0.5026953816413879, 0.5003206729888916, 0.5041836500167847, 0.5019883513450623, 0.5063375234603882, 0.5035029649734497, 0.5112427473068237]","[0.2387380599975586, 0.2534564137458801, 0.24318629503250122, 0.23221510648727417, 0.23307791352272034, 0.22273850440979004, 0.2244648039340973, 0.21176588535308838, 0.22361749410629272, 0.24702639877796173]","[0.22281794250011444, 0.24218103289604187, 0.22770780324935913, 0.21421638131141663, 0.21227863430976868, 0.20127737522125244, 0.20182105898857117, 0.18970923125743866, 0.20254483819007874, 0.23092354834079742]","[0.2052956223487854, 0.21576327085494995, 0.21601834893226624, 0.21215850114822388, 0.21483345329761505, 0.21086768805980682, 0.207636758685112, 0.20743033289909363, 0.2086721658706665, 0.20567774772644043]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.54541015625, 0.5537109375, 0.62158203125, 0.643310546875, 0.653564453125, 0.675048828125, 0.667724609375, 0.67138671875, 0.67724609375, 0.66845703125]","[0.5123336315155029, 0.5330184698104858, 0.5579991340637207, 0.5853097438812256, 0.5994487404823303, 0.6108993887901306, 0.6077977418899536, 0.6122748851776123, 0.6147903203964233, 0.6027670502662659]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.530396044254303, 0.5143441557884216, 0.49651890993118286, 0.4738674759864807, 0.4602135717868805, 0.4521663188934326, 0.4541614353656769, 0.4513433277606964, 0.4498634338378906, 0.46180111169815063]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.531982421875, 0.538330078125, 0.59521484375, 0.625732421875, 0.634765625, 0.645263671875, 0.623779296875, 0.641357421875, 0.64697265625, 0.619873046875]","[0.5102634429931641, 0.5246546268463135, 0.5435671806335449, 0.5655101537704468, 0.5750349760055542, 0.5766658186912537, 0.5735329389572144, 0.5788441300392151, 0.5812506675720215, 0.56339031457901]","[0.9516564011573792, 0.9175063967704773, 0.8442251086235046, 0.7931638956069946, 0.7648240923881531, 0.7592042684555054, 0.7760944366455078, 0.7575465440750122, 0.742585301399231, 0.774422824382782]","[0.5736232995986938, 0.5635645389556885, 0.5114513635635376, 0.4818161129951477, 0.46109825372695923, 0.457139253616333, 0.4689779281616211, 0.4572778046131134, 0.4461156129837036, 0.45913487672805786]","[0.39510634541511536, 0.3816109299659729, 0.3662378191947937, 0.35000523924827576, 0.34086844325065613, 0.33994409441947937, 0.3410741090774536, 0.33786290884017944, 0.3353346884250641, 0.35091540217399597]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.529541015625, 0.521484375, 0.558349609375, 0.58056640625, 0.590087890625, 0.59814453125, 0.581298828125, 0.587646484375, 0.58056640625, 0.556396484375]","[0.5062217712402344, 0.5150059461593628, 0.5288867354393005, 0.539082407951355, 0.5428211092948914, 0.5417829155921936, 0.5412497520446777, 0.5416467189788818, 0.5420178174972534, 0.5268977880477905]","[0.5238179564476013, 0.5020931363105774, 0.45921313762664795, 0.4384947717189789, 0.4238855838775635, 0.41663283109664917, 0.4332750737667084, 0.4247207045555115, 0.4180181324481964, 0.4371986389160156]","[0.41056346893310547, 0.4001691937446594, 0.3595428168773651, 0.34351688623428345, 0.32874545454978943, 0.32100632786750793, 0.33489155769348145, 0.3284648358821869, 0.3212871849536896, 0.334075391292572]","[0.3097270727157593, 0.29728275537490845, 0.2866284251213074, 0.27765971422195435, 0.2730737328529358, 0.27272307872772217, 0.27465787529945374, 0.27406325936317444, 0.273051381111145, 0.28469568490982056]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.50244140625, 0.50048828125, 0.5322265625, 0.530517578125, 0.549560546875, 0.543701171875, 0.539794921875, 0.531494140625, 0.539306640625, 0.517578125]","[0.4986693859100342, 0.5020619630813599, 0.5148624777793884, 0.5145294666290283, 0.5170565843582153, 0.5134986042976379, 0.5157666206359863, 0.5130499601364136, 0.5154300928115845, 0.5077376365661621]","[0.2620803117752075, 0.2600913345813751, 0.2281288057565689, 0.2155124396085739, 0.20755699276924133, 0.20401689410209656, 0.20874616503715515, 0.20118796825408936, 0.20608513057231903, 0.22042953968048096]","[0.24499979615211487, 0.2491784691810608, 0.21324893832206726, 0.2006622850894928, 0.18999993801116943, 0.1848442256450653, 0.18864896893501282, 0.18191978335380554, 0.18589282035827637, 0.19916963577270508]","[0.21854107081890106, 0.21913564205169678, 0.20521143078804016, 0.19860287010669708, 0.1966356784105301, 0.19860395789146423, 0.19536137580871582, 0.19542235136032104, 0.199281707406044, 0.20695459842681885]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.75,"[[1.0, -0.37738028168678284, -1.0025649070739746, 0.6926920413970947], [1.0, 0.36681893467903137, 0.2759348452091217, 0.0742737352848053], [1.0, -0.13568760454654694, 0.08834633231163025, -0.8822617530822754], [1.0, 0.14624883234500885, 0.6382837295532227, 0.11529599875211716]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.75, 0.0, 0.0], [0.0, 0.0, 0.749872088432312, 0.0], [0.0, 0.0, 0.0, 0.7345929145812988]]","[[0.25, 0.25, 0.25, 0.25], [-0.4936698377132416, 2.846864938735962, -0.4028114974498749, -1.9503835439682007], [-0.3373587429523468, -0.9980179667472839, -0.1542253941297531, 1.4896020889282227], [0.32550477981567383, -0.2544090747833252, -0.8035809397697449, 0.7324850559234619]]","[[0.8089828263500722, 0.06508708776081655, 0.07105631483272491, 0.054873771056386356], [0.06213939657184199, 0.8128264779079045, 0.06342500909753103, 0.0616091164227225], [0.06692846537409719, 0.05905297570199536, 0.8015785125349609, 0.0724400463889465], [0.06194944772048962, 0.06303319428910605, 0.06394010877520008, 0.8110772492152043]]",1.0069639831781387,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.7119140625, 0.76220703125, 0.822265625, 0.841552734375, 0.8623046875, 0.8544921875, 0.852294921875, 0.84912109375, 0.84765625, 0.8603515625]","[0.49399685859680176, 0.5705662965774536, 0.6630778312683105, 0.7125285863876343, 0.7354308366775513, 0.7329440116882324, 0.7350128889083862, 0.7311461567878723, 0.7211676836013794, 0.7278891801834106]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5449343919754028, 0.48927557468414307, 0.4160540699958801, 0.37413299083709717, 0.3572216033935547, 0.35848551988601685, 0.35672685503959656, 0.36032992601394653, 0.37056586146354675, 0.36663711071014404]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.75,"[[1.0, -0.37738028168678284, -1.0025649070739746, 0.6926920413970947], [1.0, 0.36681893467903137, 0.2759348452091217, 0.0742737352848053], [1.0, -0.13568760454654694, 0.08834633231163025, -0.8822617530822754], [1.0, 0.14624883234500885, 0.6382837295532227, 0.11529599875211716]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.75, 0.0, 0.0], [0.0, 0.0, 0.749872088432312, 0.0], [0.0, 0.0, 0.0, 0.7345929145812988]]","[[0.25, 0.25, 0.25, 0.25], [-0.4936698377132416, 2.846864938735962, -0.4028114974498749, -1.9503835439682007], [-0.3373587429523468, -0.9980179667472839, -0.1542253941297531, 1.4896020889282227], [0.32550477981567383, -0.2544090747833252, -0.8035809397697449, 0.7324850559234619]]","[[0.8089828263500722, 0.06508708776081655, 0.07105631483272491, 0.054873771056386356], [0.06213939657184199, 0.8128264779079045, 0.06342500909753103, 0.0616091164227225], [0.06692846537409719, 0.05905297570199536, 0.8015785125349609, 0.0724400463889465], [0.06194944772048962, 0.06303319428910605, 0.06394010877520008, 0.8110772492152043]]",1.0069639831781387,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.671875, 0.69580078125, 0.749755859375, 0.7685546875, 0.78369140625, 0.782470703125, 0.772216796875, 0.7734375, 0.781982421875, 0.79833984375]","[0.49691057205200195, 0.5654683113098145, 0.6284487247467041, 0.6548759937286377, 0.6624523997306824, 0.6608307361602783, 0.6654261350631714, 0.6631518006324768, 0.6631762981414795, 0.6631235480308533]","[0.9493757486343384, 0.7764488458633423, 0.6262868046760559, 0.56880784034729, 0.529790997505188, 0.5373653173446655, 0.5416086912155151, 0.5485417246818542, 0.5524477362632751, 0.5367428064346313]","[0.5551623702049255, 0.46433398127555847, 0.3971954584121704, 0.37378278374671936, 0.34019264578819275, 0.34910333156585693, 0.3540695309638977, 0.358081191778183, 0.3603658080101013, 0.34338852763175964]","[0.40615689754486084, 0.3496710956096649, 0.29463499784469604, 0.27126139402389526, 0.26478904485702515, 0.26557543873786926, 0.26262906193733215, 0.26544907689094543, 0.26970383524894714, 0.2716085612773895]"
