num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.52880859375, 0.536865234375, 0.534423828125, 0.537353515625, 0.53857421875, 0.55322265625, 0.55615234375, 0.58447265625, 0.55517578125, 0.540771484375]","[0.5187492370605469, 0.5098800659179688, 0.5104848146438599, 0.5118204355239868, 0.5137380361557007, 0.5158676505088806, 0.5186462998390198, 0.5315660834312439, 0.5318528413772583, 0.5249418020248413]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5261121988296509, 0.5325760841369629, 0.5320366621017456, 0.5316410064697266, 0.5304040908813477, 0.528867781162262, 0.5262714624404907, 0.5165843963623047, 0.5144045352935791, 0.5185933113098145]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.5361328125, 0.51953125, 0.517333984375, 0.5322265625, 0.520263671875, 0.53564453125, 0.5419921875, 0.54638671875, 0.55224609375, 0.52880859375]","[0.5191943645477295, 0.5062805414199829, 0.5053218603134155, 0.5097975730895996, 0.5076954960823059, 0.5089808702468872, 0.5133832097053528, 0.5202888250350952, 0.5272186398506165, 0.5180850028991699]","[0.9321780800819397, 0.9500772953033447, 0.9464160203933716, 0.9273439049720764, 0.9270572662353516, 0.9281880855560303, 0.9223725199699402, 0.9227896928787231, 0.9248425364494324, 0.9651031494140625]","[0.5610796809196472, 0.5661331415176392, 0.5631455183029175, 0.5454016923904419, 0.5428154468536377, 0.5456933975219727, 0.5487453937530518, 0.5597472190856934, 0.5757718086242676, 0.614113986492157]","[0.3882673382759094, 0.3988441824913025, 0.39832261204719543, 0.39630937576293945, 0.39703941345214844, 0.39614254236221313, 0.39151740074157715, 0.3868864178657532, 0.38042065501213074, 0.38471871614456177]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.525146484375, 0.5166015625, 0.507080078125, 0.51025390625, 0.50390625, 0.503173828125, 0.516845703125, 0.521728515625, 0.53515625, 0.516357421875]","[0.5124509334564209, 0.502759575843811, 0.4992903470993042, 0.5015430450439453, 0.5027961730957031, 0.5023481845855713, 0.5052552223205566, 0.5071118474006653, 0.5159379243850708, 0.5070873498916626]","[0.518575131893158, 0.5155251026153564, 0.5169330835342407, 0.502686619758606, 0.494459867477417, 0.4921479821205139, 0.5019679665565491, 0.5081321001052856, 0.5146527290344238, 0.5489449501037598]","[0.4094703793525696, 0.40289729833602905, 0.40226006507873535, 0.386040061712265, 0.3761453628540039, 0.37436190247535706, 0.38616159558296204, 0.3996301591396332, 0.4145813584327698, 0.45368003845214844]","[0.30070066452026367, 0.3109915256500244, 0.31280893087387085, 0.31136369705200195, 0.3104162812232971, 0.3078623414039612, 0.3076492249965668, 0.304649293422699, 0.29919829964637756, 0.30486005544662476]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.512451171875, 0.4990234375, 0.498046875, 0.497314453125, 0.498046875, 0.495361328125, 0.49853515625, 0.525390625, 0.51220703125, 0.49951171875]","[0.5060405731201172, 0.5012556910514832, 0.4970642328262329, 0.5007795095443726, 0.5001753568649292, 0.4991340637207031, 0.4988476037979126, 0.5058333873748779, 0.5082218050956726, 0.49651944637298584]","[0.2726624310016632, 0.25209933519363403, 0.24732252955436707, 0.23575308918952942, 0.23183484375476837, 0.23213845491409302, 0.23272305727005005, 0.24039298295974731, 0.2533087432384491, 0.28444135189056396]","[0.2591855525970459, 0.23619867861270905, 0.23027010262012482, 0.21518215537071228, 0.20941221714019775, 0.2096317559480667, 0.21136730909347534, 0.2234155833721161, 0.24045342206954956, 0.2786661982536316]","[0.21096226572990417, 0.21685245633125305, 0.21818801760673523, 0.21520499885082245, 0.21575820446014404, 0.21443358063697815, 0.2118232697248459, 0.20988957583904266, 0.21161574125289917, 0.2205927073955536]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.60302734375, 0.598876953125, 0.626708984375, 0.6650390625, 0.673095703125, 0.695556640625, 0.689453125, 0.701416015625, 0.70703125, 0.697509765625]","[0.5489213466644287, 0.549860954284668, 0.5771973133087158, 0.6113018989562988, 0.6176494359970093, 0.6297093033790588, 0.6352510452270508, 0.6410645246505737, 0.6498222947120667, 0.6519887447357178]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5052282214164734, 0.5003424882888794, 0.4791017770767212, 0.45110154151916504, 0.44462621212005615, 0.43680959939956665, 0.43021270632743835, 0.424749493598938, 0.4163665771484375, 0.4123755395412445]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.59423828125, 0.5732421875, 0.606689453125, 0.635986328125, 0.646484375, 0.661865234375, 0.649658203125, 0.660888671875, 0.66357421875, 0.663818359375]","[0.5428950786590576, 0.5413848757743835, 0.5606316328048706, 0.5894707441329956, 0.5902382135391235, 0.5933270454406738, 0.5972095131874084, 0.5998797416687012, 0.6080553531646729, 0.611860454082489]","[0.8562122583389282, 0.8718401193618774, 0.8178213834762573, 0.7487245798110962, 0.7361281514167786, 0.7214096188545227, 0.7243729829788208, 0.7203218936920166, 0.7110751867294312, 0.7169818878173828]","[0.5157506465911865, 0.5415824055671692, 0.5133056640625, 0.4661659598350525, 0.45336633920669556, 0.4399637281894684, 0.44713902473449707, 0.4505084156990051, 0.45606154203414917, 0.47029581665992737]","[0.3690435290336609, 0.3679969310760498, 0.3514939546585083, 0.32761049270629883, 0.3260164260864258, 0.324709951877594, 0.32041096687316895, 0.3169477581977844, 0.308471143245697, 0.3046303391456604]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.581298828125, 0.5576171875, 0.590576171875, 0.599609375, 0.61962890625, 0.611572265625, 0.61376953125, 0.61328125, 0.61669921875, 0.606201171875]","[0.5334608554840088, 0.5303384065628052, 0.5453329086303711, 0.5553882122039795, 0.5612101554870605, 0.5545603036880493, 0.5587553977966309, 0.5557136535644531, 0.5631665587425232, 0.5654661655426025]","[0.4747210741043091, 0.46833303570747375, 0.4421188235282898, 0.420926034450531, 0.40624216198921204, 0.39505743980407715, 0.4061086177825928, 0.4133223295211792, 0.4090275168418884, 0.4216647744178772]","[0.3754800856113434, 0.37844163179397583, 0.35765790939331055, 0.3362446427345276, 0.3206426501274109, 0.30778592824935913, 0.31921160221099854, 0.32859984040260315, 0.3300779163837433, 0.35180220007896423]","[0.2834046483039856, 0.2870856523513794, 0.2738019824028015, 0.26277098059654236, 0.2598206400871277, 0.2570865750312805, 0.2579994797706604, 0.25921106338500977, 0.25232410430908203, 0.2498689889907837]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.55126953125, 0.53271484375, 0.5595703125, 0.554931640625, 0.56298828125, 0.556396484375, 0.56103515625, 0.5458984375, 0.55810546875, 0.54541015625]","[0.519240140914917, 0.5146656632423401, 0.5243616104125977, 0.5217701196670532, 0.5270213484764099, 0.521610677242279, 0.5237125754356384, 0.5197194814682007, 0.5236836075782776, 0.5171034336090088]","[0.2510087788105011, 0.23678900301456451, 0.21971896290779114, 0.20934323966503143, 0.19837141036987305, 0.1989719569683075, 0.2037009298801422, 0.2100239098072052, 0.22471937537193298, 0.23521071672439575]","[0.2401488870382309, 0.23220950365066528, 0.21166658401489258, 0.19772259891033173, 0.18311846256256104, 0.18195338547229767, 0.18706215918064117, 0.19489328563213348, 0.21324586868286133, 0.23141440749168396]","[0.1944512128829956, 0.20467932522296906, 0.197139710187912, 0.1914205253124237, 0.18753573298454285, 0.18889456987380981, 0.18920013308525085, 0.1914737969636917, 0.1938910186290741, 0.1942087560892105]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.75,"[[1.0, -0.37738028168678284, -1.0025649070739746, 0.6926920413970947], [1.0, 0.36681893467903137, 0.2759348452091217, 0.0742737352848053], [1.0, -0.13568760454654694, 0.08834633231163025, -0.8822617530822754], [1.0, 0.14624883234500885, 0.6382837295532227, 0.11529599875211716]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.75, 0.0, 0.0], [0.0, 0.0, 0.749872088432312, 0.0], [0.0, 0.0, 0.0, 0.7345929145812988]]","[[0.25, 0.25, 0.25, 0.25], [-0.4936698377132416, 2.846864938735962, -0.4028114974498749, -1.9503835439682007], [-0.3373587429523468, -0.9980179667472839, -0.1542253941297531, 1.4896020889282227], [0.32550477981567383, -0.2544090747833252, -0.8035809397697449, 0.7324850559234619]]","[[0.8089828263500722, 0.06508708776081655, 0.07105631483272491, 0.054873771056386356], [0.06213939657184199, 0.8128264779079045, 0.06342500909753103, 0.0616091164227225], [0.06692846537409719, 0.05905297570199536, 0.8015785125349609, 0.0724400463889465], [0.06194944772048962, 0.06303319428910605, 0.06394010877520008, 0.8110772492152043]]",1.0069639831781387,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.344970703125, 0.49267578125, 0.709228515625, 0.82666015625, 0.877197265625, 0.86767578125, 0.870849609375, 0.870361328125, 0.869873046875, 0.8740234375]","[0.44466233253479004, 0.525484561920166, 0.6378451585769653, 0.7129509449005127, 0.7720870971679688, 0.7738088369369507, 0.7830715179443359, 0.780943751335144, 0.7745018005371094, 0.7781018018722534]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5757983922958374, 0.5161852836608887, 0.4302801489830017, 0.37174922227859497, 0.32278966903686523, 0.31948569416999817, 0.3109029531478882, 0.3127301335334778, 0.3190072774887085, 0.31637048721313477]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.75,"[[1.0, -0.37738028168678284, -1.0025649070739746, 0.6926920413970947], [1.0, 0.36681893467903137, 0.2759348452091217, 0.0742737352848053], [1.0, -0.13568760454654694, 0.08834633231163025, -0.8822617530822754], [1.0, 0.14624883234500885, 0.6382837295532227, 0.11529599875211716]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.75, 0.0, 0.0], [0.0, 0.0, 0.749872088432312, 0.0], [0.0, 0.0, 0.0, 0.7345929145812988]]","[[0.25, 0.25, 0.25, 0.25], [-0.4936698377132416, 2.846864938735962, -0.4028114974498749, -1.9503835439682007], [-0.3373587429523468, -0.9980179667472839, -0.1542253941297531, 1.4896020889282227], [0.32550477981567383, -0.2544090747833252, -0.8035809397697449, 0.7324850559234619]]","[[0.8089828263500722, 0.06508708776081655, 0.07105631483272491, 0.054873771056386356], [0.06213939657184199, 0.8128264779079045, 0.06342500909753103, 0.0616091164227225], [0.06692846537409719, 0.05905297570199536, 0.8015785125349609, 0.0724400463889465], [0.06194944772048962, 0.06303319428910605, 0.06394010877520008, 0.8110772492152043]]",1.0069639831781387,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.366455078125, 0.5244140625, 0.70947265625, 0.776123046875, 0.806396484375, 0.799560546875, 0.801513671875, 0.802734375, 0.805908203125, 0.80712890625]","[0.45089197158813477, 0.5322688817977905, 0.6242023706436157, 0.6663117408752441, 0.6973813772201538, 0.6943235993385315, 0.6988818645477295, 0.6943711042404175, 0.6968770027160645, 0.700061559677124]","[1.1550086736679077, 0.9105598330497742, 0.6532609462738037, 0.5485294461250305, 0.46677857637405396, 0.4837183952331543, 0.4847056269645691, 0.49120840430259705, 0.49725428223609924, 0.4850082993507385]","[0.6876797080039978, 0.5525223016738892, 0.41399264335632324, 0.3673909902572632, 0.3164529800415039, 0.33492428064346313, 0.33886921405792236, 0.3383136987686157, 0.3433879017829895, 0.33193594217300415]","[0.43998128175735474, 0.3747815489768982, 0.2999337911605835, 0.2612389326095581, 0.23190079629421234, 0.23477841913700104, 0.23090681433677673, 0.23607592284679413, 0.2381611168384552, 0.23409461975097656]"
