num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.98779296875, 0.98779296875, 0.992919921875, 0.989990234375, 0.978515625, 0.97314453125, 0.960693359375, 0.9189453125, 0.9716796875, 0.990234375]","[0.6864299774169922, 0.6907758712768555, 0.7026627659797668, 0.7223865985870361, 0.7609734535217285, 0.8114520311355591, 0.8640832901000977, 0.885292112827301, 0.9415723085403442, 0.9511377215385437]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.41383054852485657, 0.4101604223251343, 0.3974469006061554, 0.3744657337665558, 0.326180100440979, 0.2678065299987793, 0.2162560224533081, 0.18703490495681763, 0.1378946304321289, 0.1391144096851349]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.876953125, 0.8583984375, 0.857421875, 0.877685546875, 0.900146484375, 0.896484375, 0.921875, 0.9267578125, 0.934326171875, 0.93603515625]","[0.6351339817047119, 0.6513561010360718, 0.7027208805084229, 0.7642500400543213, 0.8250596523284912, 0.8360044956207275, 0.859289288520813, 0.8622828125953674, 0.8722304105758667, 0.8656491041183472]","[0.5214372873306274, 0.49722492694854736, 0.405244916677475, 0.2937019467353821, 0.21550607681274414, 0.20047244429588318, 0.12627100944519043, 0.11539871990680695, 0.09618744999170303, 0.09548960626125336]","[0.3148190975189209, 0.3033102750778198, 0.24833811819553375, 0.1836555451154709, 0.149505615234375, 0.1423010677099228, 0.09111066907644272, 0.08648605644702911, 0.07269328832626343, 0.0693952664732933]","[0.3005557060241699, 0.2847678065299988, 0.23480470478534698, 0.17997562885284424, 0.12810054421424866, 0.11774937808513641, 0.09425786137580872, 0.08540026098489761, 0.07491450756788254, 0.08102379739284515]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.745361328125, 0.733642578125, 0.779541015625, 0.827880859375, 0.83935546875, 0.828369140625, 0.8359375, 0.8447265625, 0.853515625, 0.852294921875]","[0.5760583877563477, 0.6070010662078857, 0.682342529296875, 0.7444682121276855, 0.7686461210250854, 0.7538421750068665, 0.7442348599433899, 0.7408278584480286, 0.7467615604400635, 0.7458782196044922]","[0.336279034614563, 0.28603556752204895, 0.19382280111312866, 0.12053138017654419, 0.11821109056472778, 0.12124842405319214, 0.11470857262611389, 0.09869308024644852, 0.09663236141204834, 0.1014588475227356]","[0.2699229419231415, 0.2309577763080597, 0.16039863228797913, 0.10720960795879364, 0.1131802350282669, 0.11403167992830276, 0.10000087320804596, 0.0843290239572525, 0.08546195924282074, 0.09130534529685974]","[0.2467452883720398, 0.20737412571907043, 0.15773874521255493, 0.11754544824361801, 0.1157897412776947, 0.11776983737945557, 0.1095452606678009, 0.10083521157503128, 0.10011692345142365, 0.10485193133354187]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.619384765625, 0.64404296875, 0.699462890625, 0.711669921875, 0.704833984375, 0.6787109375, 0.688232421875, 0.69775390625, 0.702392578125, 0.703857421875]","[0.5273444652557373, 0.562893271446228, 0.6177595257759094, 0.6380919218063354, 0.6356827616691589, 0.6083142161369324, 0.6084407567977905, 0.60374915599823, 0.6075531840324402, 0.6064026951789856]","[0.20667590200901031, 0.16030248999595642, 0.10505177825689316, 0.09414634108543396, 0.1225196048617363, 0.12826022505760193, 0.11061503738164902, 0.09286422282457352, 0.0941755622625351, 0.10354466736316681]","[0.19982829689979553, 0.1555803418159485, 0.10814552754163742, 0.10312516987323761, 0.1369073987007141, 0.13791027665138245, 0.11205907166004181, 0.088849738240242, 0.09179950505495071, 0.10372108221054077]","[0.18518602848052979, 0.15174901485443115, 0.12158676981925964, 0.12004303932189941, 0.13908129930496216, 0.13864387571811676, 0.12179331481456757, 0.11262452602386475, 0.11470845341682434, 0.12161406874656677]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.989990234375, 0.987548828125, 0.989013671875, 0.9873046875, 0.969970703125, 0.962890625, 0.94287109375, 0.9462890625, 0.97705078125, 0.986083984375]","[0.6872596740722656, 0.6895501613616943, 0.6990889310836792, 0.715232789516449, 0.7440998554229736, 0.7821471691131592, 0.8299115896224976, 0.8953260779380798, 0.9425857067108154, 0.949726402759552]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.41327494382858276, 0.41112905740737915, 0.40076398849487305, 0.38231754302978516, 0.34766414761543274, 0.3044949173927307, 0.25110599398612976, 0.17853842675685883, 0.13607358932495117, 0.13594171404838562]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.8779296875, 0.859130859375, 0.85498046875, 0.876708984375, 0.90185546875, 0.894775390625, 0.919921875, 0.9287109375, 0.928466796875, 0.93505859375]","[0.6353254318237305, 0.6504418849945068, 0.6997041702270508, 0.7613730430603027, 0.8248138427734375, 0.8364658355712891, 0.8674903512001038, 0.8696644902229309, 0.8698246479034424, 0.8654624819755554]","[0.5205659866333008, 0.4988101124763489, 0.41022607684135437, 0.3013720214366913, 0.21550053358078003, 0.2142173945903778, 0.12316390872001648, 0.11257204413414001, 0.10112575441598892, 0.10175023972988129]","[0.3141776919364929, 0.30473360419273376, 0.2529914975166321, 0.18829745054244995, 0.1498151421546936, 0.15501093864440918, 0.09383733570575714, 0.08293220400810242, 0.0753253698348999, 0.07342426478862762]","[0.3003805875778198, 0.28528547286987305, 0.2362300157546997, 0.18207405507564545, 0.12645721435546875, 0.11855600774288177, 0.08696858584880829, 0.08035091310739517, 0.07538984715938568, 0.08118049800395966]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.746826171875, 0.735107421875, 0.781982421875, 0.83203125, 0.843017578125, 0.84716796875, 0.837158203125, 0.8427734375, 0.848876953125, 0.855224609375]","[0.576549768447876, 0.6065613031387329, 0.6832134127616882, 0.7460841536521912, 0.7720065116882324, 0.7751034498214722, 0.7598425149917603, 0.745364248752594, 0.7528663873672485, 0.7491216659545898]","[0.33471134305000305, 0.28763431310653687, 0.19493475556373596, 0.12077327072620392, 0.10732696205377579, 0.1062164157629013, 0.10063065588474274, 0.10142619907855988, 0.09784264862537384, 0.10073946416378021]","[0.2685997784137726, 0.23253753781318665, 0.16178053617477417, 0.10902319848537445, 0.10494966804981232, 0.10380271822214127, 0.09262505173683167, 0.08755877614021301, 0.08728472888469696, 0.08906437456607819]","[0.24620619416236877, 0.20827554166316986, 0.15802223980426788, 0.11704587936401367, 0.11033923178911209, 0.10830208659172058, 0.09873883426189423, 0.09924405068159103, 0.10132189095020294, 0.1053752526640892]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.619140625, 0.64453125, 0.699951171875, 0.721923828125, 0.719970703125, 0.7138671875, 0.704833984375, 0.717041015625, 0.7275390625, 0.7177734375]","[0.5273241996765137, 0.5629450082778931, 0.6160691976547241, 0.642342746257782, 0.6426389813423157, 0.6292192935943604, 0.6245293021202087, 0.6172876358032227, 0.6295596957206726, 0.6254254579544067]","[0.20621967315673828, 0.16250546276569366, 0.1075771376490593, 0.09198954701423645, 0.11067190766334534, 0.1168803721666336, 0.09823057055473328, 0.08117715269327164, 0.08817436546087265, 0.09381217509508133]","[0.19939154386520386, 0.15770269930362701, 0.11098432540893555, 0.10210102051496506, 0.1254497468471527, 0.12975387275218964, 0.1010214164853096, 0.07831735163927078, 0.08933877944946289, 0.09708686918020248]","[0.1849065124988556, 0.1527385711669922, 0.12268883734941483, 0.11875498294830322, 0.13208431005477905, 0.13010337948799133, 0.1128406673669815, 0.10278639942407608, 0.11142529547214508, 0.11725769937038422]"
4,"[0.9867830480639376, 0.013186836788287368, 3.0114228761716865e-05, 9.190133289098164e-10]",0.99,"[[1.0, -0.0005084912991151214, 0.030851935967803, -0.029157893732190132], [1.0, -0.23583708703517914, -2.348829507827759, 1.7162108421325684], [1.0, -0.7210590839385986, -1.5265498161315918, -1.9596105813980103], [1.0, -1.043879747390747, 0.013949032872915268, -0.01441963855177164]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.4828088879585266, 0.0], [0.0, 0.0, 0.0, 0.4358814060688019]]","[[0.9867830276489258, 0.013186836615204811, 3.0114228138700128e-05, 9.190133098968545e-10], [0.9530087113380432, 0.007294266950339079, -0.00073099514702335, -0.959571897983551], [0.27958425879478455, -0.2657155990600586, -0.2385246753692627, 0.22465594112873077], [-0.06325779855251312, 0.21164470911026, -0.3253093659877777, 0.1769224852323532]]","[[0.9912718390211143, 0.006535300351512861, 0.0006119982269123785, 0.0015808624004604796], [0.3998963065567104, 0.47113860085283993, 0.027343931193151205, 0.10162116139729849], [0.1544488720224792, 0.02304270568260681, 0.4542177769838273, 0.36829064531108663], [0.0041853146273919525, 0.002528882556360533, 0.0012238098828676667, 0.9920619929333798]]",0.10019589166550917,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.982666015625, 0.97607421875, 0.975341796875, 0.971435546875, 0.96533203125, 0.966796875, 0.945068359375, 0.9150390625, 0.950927734375, 0.978759765625]","[0.6836543083190918, 0.6845223903656006, 0.696186900138855, 0.7192630767822266, 0.7623082995414734, 0.8050341606140137, 0.8450297117233276, 0.8671798706054688, 0.9207812547683716, 0.9410250782966614]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.4157252013683319, 0.41455212235450745, 0.40219178795814514, 0.37692564725875854, 0.3267533779144287, 0.27911174297332764, 0.23548641800880432, 0.20531150698661804, 0.15454503893852234, 0.14579419791698456]"
4,"[0.9867830480639376, 0.013186836788287368, 3.0114228761716865e-05, 9.190133289098164e-10]",0.99,"[[1.0, -0.0005084912991151214, 0.030851935967803, -0.029157893732190132], [1.0, -0.23583708703517914, -2.348829507827759, 1.7162108421325684], [1.0, -0.7210590839385986, -1.5265498161315918, -1.9596105813980103], [1.0, -1.043879747390747, 0.013949032872915268, -0.01441963855177164]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.4828088879585266, 0.0], [0.0, 0.0, 0.0, 0.4358814060688019]]","[[0.9867830276489258, 0.013186836615204811, 3.0114228138700128e-05, 9.190133098968545e-10], [0.9530087113380432, 0.007294266950339079, -0.00073099514702335, -0.959571897983551], [0.27958425879478455, -0.2657155990600586, -0.2385246753692627, 0.22465594112873077], [-0.06325779855251312, 0.21164470911026, -0.3253093659877777, 0.1769224852323532]]","[[0.9912718390211143, 0.006535300351512861, 0.0006119982269123785, 0.0015808624004604796], [0.3998963065567104, 0.47113860085283993, 0.027343931193151205, 0.10162116139729849], [0.1544488720224792, 0.02304270568260681, 0.4542177769838273, 0.36829064531108663], [0.0041853146273919525, 0.002528882556360533, 0.0012238098828676667, 0.9920619929333798]]",0.10019589166550917,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.872314453125, 0.853515625, 0.845947265625, 0.875732421875, 0.906494140625, 0.902099609375, 0.92626953125, 0.92333984375, 0.93310546875, 0.9404296875]","[0.6326820850372314, 0.6481912136077881, 0.6968282461166382, 0.7659205198287964, 0.8324644565582275, 0.8448193073272705, 0.8673220276832581, 0.8645729422569275, 0.8730215430259705, 0.8691904544830322]","[0.5299657583236694, 0.5080337524414062, 0.4206269383430481, 0.29380422830581665, 0.1984744369983673, 0.19283221662044525, 0.12020598351955414, 0.11204551160335541, 0.08684895932674408, 0.09565786272287369]","[0.32031816244125366, 0.31044572591781616, 0.2590835690498352, 0.18667647242546082, 0.13889414072036743, 0.13926106691360474, 0.09223870933055878, 0.08347369730472565, 0.06712520122528076, 0.07132243365049362]","[0.30244123935699463, 0.28745120763778687, 0.23858101665973663, 0.1775313913822174, 0.11890880763530731, 0.1114974394440651, 0.08881848305463791, 0.0806092768907547, 0.07058995962142944, 0.07924295961856842]"
