num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.990234375, 0.988525390625, 0.985595703125, 0.990234375, 0.991943359375, 0.994140625, 0.991455078125, 0.9912109375, 0.99267578125, 0.99462890625]","[0.8171732425689697, 0.8142368793487549, 0.8202893733978271, 0.8338006138801575, 0.8566515445709229, 0.8918148279190063, 0.9367700219154358, 0.9713742136955261, 0.9842146635055542, 0.9872079491615295]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3086621165275574, 0.31079190969467163, 0.3050096333026886, 0.289201021194458, 0.25850653648376465, 0.2039172649383545, 0.12281129509210587, 0.0654643103480339, 0.055888090282678604, 0.053808994591236115]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.911865234375, 0.912109375, 0.918212890625, 0.92529296875, 0.935302734375, 0.9345703125, 0.931884765625, 0.929931640625, 0.93115234375, 0.941650390625]","[0.7542753219604492, 0.770871639251709, 0.8013156652450562, 0.8430340886116028, 0.8720892071723938, 0.870187520980835, 0.8621845245361328, 0.8540836572647095, 0.8467422127723694, 0.8529261350631714]","[0.25690412521362305, 0.21758884191513062, 0.17496049404144287, 0.13062217831611633, 0.10077261179685593, 0.10508281737565994, 0.10768479108810425, 0.10625696927309036, 0.10900919139385223, 0.10159660875797272]","[0.15669885277748108, 0.1323479861021042, 0.11048011481761932, 0.08820908516645432, 0.07495196163654327, 0.0790887326002121, 0.07776978611946106, 0.07419892400503159, 0.07469463348388672, 0.06853318959474564]","[0.19298522174358368, 0.17644798755645752, 0.14794039726257324, 0.110552117228508, 0.09251236915588379, 0.09231633692979813, 0.09078817814588547, 0.09153784811496735, 0.09681831300258636, 0.0954369381070137]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.81298828125, 0.8115234375, 0.84130859375, 0.8408203125, 0.8564453125, 0.857177734375, 0.8583984375, 0.84912109375, 0.856201171875, 0.866455078125]","[0.6753277778625488, 0.70051109790802, 0.7414318323135376, 0.7586067914962769, 0.760790228843689, 0.7446341514587402, 0.7344937324523926, 0.7230015993118286, 0.7245931029319763, 0.7249913215637207]","[0.1801002472639084, 0.13073410093784332, 0.10184493660926819, 0.09447850286960602, 0.08292169868946075, 0.08559399843215942, 0.08478544652462006, 0.08456219732761383, 0.08686913549900055, 0.08918318897485733]","[0.14006400108337402, 0.10385605692863464, 0.09092380106449127, 0.08864116668701172, 0.07679590582847595, 0.07375893741846085, 0.07020127773284912, 0.06996437907218933, 0.07076524198055267, 0.07306630909442902]","[0.13992813229560852, 0.12513336539268494, 0.1131761446595192, 0.10498125851154327, 0.09417673200368881, 0.09203539043664932, 0.09489081799983978, 0.0975785106420517, 0.10200256109237671, 0.1044926643371582]"
2,"[0.5000000000000001, 0.4999999999999999]",0.99,"[[1.0, 0.5196919441223145], [1.0, -0.5196923613548279]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.5, 0.5], [0.9621081352233887, -0.9621080160140991]]","[[0.9949997666478296, 0.005000233352170386], [0.0049997571110580626, 0.995000242888942]]",0.04541465640068054,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.6865234375, 0.69384765625, 0.727294921875, 0.726806640625, 0.7412109375, 0.728515625, 0.733642578125, 0.738037109375, 0.74169921875, 0.736083984375]","[0.5886354446411133, 0.6100409030914307, 0.6340206861495972, 0.6362660527229309, 0.6354732513427734, 0.6166489720344543, 0.6076925992965698, 0.6027053594589233, 0.5986977815628052, 0.5978430509567261]","[0.13706904649734497, 0.10848981142044067, 0.089429572224617, 0.07807328552007675, 0.06484253704547882, 0.06342750787734985, 0.06360647082328796, 0.06046226620674133, 0.06213148683309555, 0.06388245522975922]","[0.12795476615428925, 0.11255218088626862, 0.09884340316057205, 0.08421042561531067, 0.0659484714269638, 0.059427835047245026, 0.05843525379896164, 0.05587289482355118, 0.05734195560216904, 0.05915921926498413]","[0.12493068724870682, 0.12705093622207642, 0.11896944046020508, 0.10743727535009384, 0.0922832041978836, 0.08342741429805756, 0.08935149759054184, 0.09026266634464264, 0.09420887380838394, 0.0953843966126442]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.949462890625, 0.958251953125, 0.938720703125, 0.960693359375, 0.966064453125, 0.97412109375, 0.97021484375, 0.9736328125, 0.9716796875, 0.97509765625]","[0.7878499031066895, 0.7862222194671631, 0.8048207759857178, 0.8501352667808533, 0.899226188659668, 0.9293215274810791, 0.9313243627548218, 0.9334897994995117, 0.9257197380065918, 0.9305654764175415]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.32997384667396545, 0.33114194869995117, 0.3121963143348694, 0.259742796421051, 0.19283121824264526, 0.15146586298942566, 0.14911997318267822, 0.15157192945480347, 0.16611522436141968, 0.1618407517671585]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.8759765625, 0.8759765625, 0.87646484375, 0.888916015625, 0.888916015625, 0.89794921875, 0.9013671875, 0.899658203125, 0.901611328125, 0.905029296875]","[0.7299566268920898, 0.7420613765716553, 0.7694157361984253, 0.8052276372909546, 0.811302900314331, 0.812813401222229, 0.8087400197982788, 0.807341992855072, 0.8005902171134949, 0.8014404773712158]","[0.32857459783554077, 0.3012203872203827, 0.2696073651313782, 0.22851158678531647, 0.21846452355384827, 0.21253693103790283, 0.20508906245231628, 0.20008066296577454, 0.21275949478149414, 0.20453184843063354]","[0.20212742686271667, 0.18547764420509338, 0.1776467114686966, 0.16456636786460876, 0.16142290830612183, 0.15211385488510132, 0.1451530158519745, 0.13863679766654968, 0.14671722054481506, 0.14006827771663666]","[0.21305759251117706, 0.2009684294462204, 0.17574679851531982, 0.14062204957008362, 0.13247698545455933, 0.13160690665245056, 0.1332695186138153, 0.13382145762443542, 0.14327828586101532, 0.1409490555524826]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.78369140625, 0.77587890625, 0.788818359375, 0.788818359375, 0.79638671875, 0.8056640625, 0.808837890625, 0.813232421875, 0.813720703125, 0.81103515625]","[0.6573336124420166, 0.6752833724021912, 0.6983419060707092, 0.7014854550361633, 0.6918420195579529, 0.6885185837745667, 0.6810263395309448, 0.679548442363739, 0.6757517457008362, 0.6778683662414551]","[0.2201351821422577, 0.18434275686740875, 0.17907169461250305, 0.1891506165266037, 0.18168126046657562, 0.16745708882808685, 0.16881227493286133, 0.1566040962934494, 0.16399970650672913, 0.16232338547706604]","[0.17357531189918518, 0.149591326713562, 0.15661022067070007, 0.17280533909797668, 0.1578184962272644, 0.13701100647449493, 0.1372879594564438, 0.12603230774402618, 0.13218829035758972, 0.13038533926010132]","[0.15800198912620544, 0.14887964725494385, 0.14571422338485718, 0.14549517631530762, 0.14190304279327393, 0.13462838530540466, 0.14258340001106262, 0.1410718560218811, 0.14776380360126495, 0.14664492011070251]"
2,"[0.5000000000000001, 0.4999999999999999]",0.95,"[[1.0, 0.9187799096107483], [1.0, -0.9187799096107483]]","[[1.0, 0.0], [0.0, 0.949999988079071]]","[[0.5, 0.5], [0.5441999435424805, -0.5441999435424805]]","[[0.9749999642372131, 0.025000035762786865], [0.025000035762786865, 0.9749999642372131]]",0.16866111755371094,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.666015625, 0.654296875, 0.66943359375, 0.66162109375, 0.656982421875, 0.668212890625, 0.669189453125, 0.677001953125, 0.693359375, 0.689453125]","[0.5793232917785645, 0.5896185040473938, 0.5995297431945801, 0.5907319188117981, 0.5804117918014526, 0.5700441002845764, 0.5658025741577148, 0.560675859451294, 0.5652999877929688, 0.5697510242462158]","[0.15308094024658203, 0.13651275634765625, 0.1353657841682434, 0.13710100948810577, 0.13100481033325195, 0.11666659265756607, 0.11580564826726913, 0.10877573490142822, 0.10753106325864792, 0.10651931166648865]","[0.14416217803955078, 0.14076301455497742, 0.14241990447044373, 0.1388290524482727, 0.12471945583820343, 0.10649992525577545, 0.10374902188777924, 0.09798814356327057, 0.09715127944946289, 0.09718362987041473]","[0.13529014587402344, 0.14282211661338806, 0.1444983184337616, 0.14157012104988098, 0.13707740604877472, 0.12959961593151093, 0.13375867903232574, 0.13631752133369446, 0.1363198310136795, 0.13020771741867065]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.7880859375, 0.799560546875, 0.805908203125, 0.845703125, 0.873046875, 0.87255859375, 0.868408203125, 0.868896484375, 0.873779296875, 0.86865234375]","[0.6692953109741211, 0.6607697606086731, 0.7058911323547363, 0.7431016564369202, 0.7589280605316162, 0.7565975189208984, 0.7497639656066895, 0.7477612495422363, 0.7435704469680786, 0.7391023635864258]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.41609591245651245, 0.42185425758361816, 0.3822592496871948, 0.34682580828666687, 0.33684244751930237, 0.34135085344314575, 0.3489517569541931, 0.35109537839889526, 0.35578006505966187, 0.3596067428588867]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.739990234375, 0.7333984375, 0.747802734375, 0.770263671875, 0.793701171875, 0.810302734375, 0.810302734375, 0.808837890625, 0.81005859375, 0.8095703125]","[0.6358788013458252, 0.6298770308494568, 0.6566052436828613, 0.6711000204086304, 0.6760728359222412, 0.679108202457428, 0.6731054782867432, 0.6722165942192078, 0.6685574054718018, 0.671237587928772]","[0.6068874597549438, 0.6239143013954163, 0.5720360279083252, 0.5468120574951172, 0.5041912794113159, 0.5023711919784546, 0.4914968013763428, 0.5005232095718384, 0.49772411584854126, 0.5027973055839539]","[0.3749586045742035, 0.38992172479629517, 0.3760618269443512, 0.36869946122169495, 0.33168208599090576, 0.32732152938842773, 0.31615781784057617, 0.3231322467327118, 0.3186725676059723, 0.32326391339302063]","[0.2921111583709717, 0.295590341091156, 0.27237099409103394, 0.2573792338371277, 0.2543817162513733, 0.25691813230514526, 0.26095110177993774, 0.26381930708885193, 0.265985906124115, 0.2665480375289917]"
