num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.982177734375, 0.983154296875, 0.9873046875, 0.98876953125, 0.992431640625, 0.990478515625, 0.9892578125, 0.98828125, 0.991455078125, 0.99462890625]","[0.5215210914611816, 0.5292930603027344, 0.5456937551498413, 0.5831198692321777, 0.6492160558700562, 0.752070963382721, 0.8706305027008057, 0.9474562406539917, 0.9714460372924805, 0.9769394397735596]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5270873308181763, 0.5214082598686218, 0.5079076290130615, 0.47442999482154846, 0.4121750593185425, 0.3107413649559021, 0.19620546698570251, 0.12225500494241714, 0.09908406436443329, 0.09215881675481796]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.90576171875, 0.90576171875, 0.879150390625, 0.915283203125, 0.92529296875, 0.931396484375, 0.93017578125, 0.929443359375, 0.934326171875, 0.9345703125]","[0.5259137153625488, 0.5734724998474121, 0.6491495370864868, 0.7787851095199585, 0.8463796377182007, 0.8587324023246765, 0.85382080078125, 0.8511463403701782, 0.8549554347991943, 0.8544671535491943]","[0.8398431539535522, 0.7215214967727661, 0.5665342807769775, 0.2984730899333954, 0.16293536126613617, 0.12012229859828949, 0.10774694383144379, 0.11341559886932373, 0.11434724926948547, 0.10683126747608185]","[0.48655611276626587, 0.41911405324935913, 0.3364453911781311, 0.18606659770011902, 0.11793628334999084, 0.08329065144062042, 0.0736711174249649, 0.07822791486978531, 0.08059988915920258, 0.07284072041511536]","[0.38453367352485657, 0.34358420968055725, 0.27049770951271057, 0.16917631030082703, 0.11229361593723297, 0.09320073574781418, 0.08695702999830246, 0.0919400230050087, 0.09281155467033386, 0.09138274192810059]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.808837890625, 0.807373046875, 0.810302734375, 0.843017578125, 0.85546875, 0.841796875, 0.842529296875, 0.830322265625, 0.81982421875, 0.834228515625]","[0.5340044498443604, 0.5935276746749878, 0.6766342520713806, 0.745203971862793, 0.7485690116882324, 0.7339156866073608, 0.7323141098022461, 0.7224873304367065, 0.7040011882781982, 0.707510769367218]","[0.4173639416694641, 0.30668115615844727, 0.19834956526756287, 0.10819137841463089, 0.09695196151733398, 0.10155032575130463, 0.10935574769973755, 0.12170441448688507, 0.15044039487838745, 0.13479582965373993]","[0.32074615359306335, 0.23632760345935822, 0.15999725461006165, 0.0970386192202568, 0.08664564788341522, 0.08490223437547684, 0.09031043946743011, 0.10078445822000504, 0.12294146418571472, 0.11097760498523712]","[0.28349554538726807, 0.22263450920581818, 0.16281110048294067, 0.11281859874725342, 0.10246504098176956, 0.10304717719554901, 0.10802295804023743, 0.1154874712228775, 0.13083483278751373, 0.12468088418245316]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, 1.1795164346694946, -0.058761417865753174, -0.4489482045173645], [1.0, -0.4680587649345398, 1.6370068788528442, 0.7160460948944092], [1.0, -1.2647813558578491, -1.326886773109436, -1.927435040473938], [1.0, 0.55332350730896, -0.2513585686683655, 1.6603370904922485]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9792017340660095, 0.0], [0.0, 0.0, 0.0, 0.9864026308059692]]","[[0.25, 0.25, 0.25, 0.25], [0.5259552597999573, -0.19980549812316895, -0.2566258907318115, -0.0695238932967186], [0.1314893215894699, 0.4105720520019531, -0.18536515533924103, -0.35669615864753723], [-0.30594539642333984, -0.021828172728419304, -0.09311117976903915, 0.42088472843170166]]","[[0.9920893537774239, 0.002725317368799118, 0.0022319631638421876, 0.0029533656899347403], [0.0009637180493792804, 0.985298515659888, 0.006016581530560994, 0.0077211847601716945], [0.0022626520551831757, 0.00823137213178707, 0.9891985052346293, 0.00030747057840052714], [0.004684210207509341, 0.0037447515218873824, 0.002553053409483936, 0.9890179848611194]]",0.10212050378322601,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.681884765625, 0.684326171875, 0.72265625, 0.715576171875, 0.739013671875, 0.709716796875, 0.693359375, 0.714111328125, 0.69140625, 0.680419921875]","[0.5331850051879883, 0.5685758590698242, 0.6066312789916992, 0.6147254109382629, 0.6186872720718384, 0.6052504777908325, 0.6024173498153687, 0.6077377200126648, 0.5954171419143677, 0.5878783464431763]","[0.18071497976779938, 0.13642528653144836, 0.0900731235742569, 0.07783840596675873, 0.076287180185318, 0.08190059661865234, 0.09494906663894653, 0.08973707258701324, 0.10594084858894348, 0.10850594937801361]","[0.16778220236301422, 0.12895001471042633, 0.08901936560869217, 0.07678371667861938, 0.07386645674705505, 0.0776548981666565, 0.08999134600162506, 0.085820272564888, 0.10129348188638687, 0.10242030769586563]","[0.1760033518075943, 0.15152470767498016, 0.11612363904714584, 0.10608169436454773, 0.10361829400062561, 0.10599236190319061, 0.11259534955024719, 0.111363485455513, 0.12322647124528885, 0.12550053000450134]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.98388671875, 0.98291015625, 0.98681640625, 0.986328125, 0.98876953125, 0.987060546875, 0.979736328125, 0.977783203125, 0.9873046875, 0.989013671875]","[0.521446704864502, 0.5279057025909424, 0.5438536405563354, 0.5787618160247803, 0.6396512389183044, 0.7293965220451355, 0.8380969166755676, 0.9303960800170898, 0.9622185230255127, 0.9628897905349731]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5271375179290771, 0.5224319696426392, 0.5096180438995361, 0.47865623235702515, 0.4218461215496063, 0.3352416157722473, 0.22896146774291992, 0.13787280023097992, 0.11154130101203918, 0.1155325323343277]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.906982421875, 0.905029296875, 0.878173828125, 0.912109375, 0.924072265625, 0.931884765625, 0.9228515625, 0.927734375, 0.927001953125, 0.9326171875]","[0.5263569355010986, 0.5727050304412842, 0.6477517485618591, 0.7759333848953247, 0.8478198647499084, 0.8623009324073792, 0.8488713502883911, 0.8409745097160339, 0.8353590965270996, 0.8363251686096191]","[0.838259220123291, 0.7231941223144531, 0.5667386651039124, 0.30439239740371704, 0.16038405895233154, 0.12111182510852814, 0.12730571627616882, 0.1430721879005432, 0.14166763424873352, 0.13421188294887543]","[0.48550766706466675, 0.4203515350818634, 0.3374093174934387, 0.18904177844524384, 0.11282366514205933, 0.08444805443286896, 0.08919090032577515, 0.10053319483995438, 0.09760960936546326, 0.09225589036941528]","[0.38413524627685547, 0.34398168325424194, 0.2710442841053009, 0.17109762132167816, 0.11134843528270721, 0.09040281921625137, 0.09292107820510864, 0.10586963593959808, 0.1085636243224144, 0.10980316996574402]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.8095703125, 0.80810546875, 0.81201171875, 0.8408203125, 0.8525390625, 0.857177734375, 0.83984375, 0.8359375, 0.813720703125, 0.8154296875]","[0.534109354019165, 0.5933723449707031, 0.6774163842201233, 0.7429125308990479, 0.7474905252456665, 0.7400776743888855, 0.7280749082565308, 0.7122284173965454, 0.690173327922821, 0.6887357831001282]","[0.41578951478004456, 0.3081466555595398, 0.19891375303268433, 0.11200904846191406, 0.09670690447092056, 0.09819149971008301, 0.11350352317094803, 0.1290348619222641, 0.16117794811725616, 0.16382713615894318]","[0.3193477690219879, 0.2375321388244629, 0.1610352098941803, 0.10032033175230026, 0.08552274107933044, 0.08329853415489197, 0.09459084272384644, 0.10671074688434601, 0.1300976574420929, 0.1344497799873352]","[0.28292521834373474, 0.22349905967712402, 0.16275934875011444, 0.11463671922683716, 0.1017136424779892, 0.10010465234518051, 0.1105009987950325, 0.12023408710956573, 0.1388527750968933, 0.14133331179618835]"
4,"[0.64, 0.27, 0.07999999999999999, 0.009999999999999997]",0.99,"[[1.0, -0.08410786092281342, -0.2557268440723419, 0.19165802001953125], [1.0, -0.008322927169501781, 0.6683381795883179, -0.5418919324874878], [1.0, 0.6610745787620544, -0.08319119364023209, 0.47113290429115295], [1.0, 0.40685075521469116, -1.6693625450134277, -1.3290702104568481]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.9686169624328613, 0.0], [0.0, 0.0, 0.0, 0.9705142974853516]]","[[0.6399999856948853, 0.27000001072883606, 0.07999999821186066, 0.009999999776482582], [-1.4660230875015259, 0.06572727113962173, 1.2096877098083496, 0.19060814380645752], [-0.46932587027549744, 0.6292724013328552, 0.12130169570446014, -0.2812481224536896], [0.6205573678016663, -0.5637381672859192, 0.27778160572052, -0.3346007466316223]]","[[0.9937515905738191, 0.003796339054480069, 0.0008958820299500144, 0.0015561883417507967], [0.0218952893701026, 0.9733042694318474, 0.002469651395292833, 0.0023307898027571158], [0.002103775708321099, 0.004544794491756044, 0.988935455844768, 0.004415973955154807], [0.00795360111014871, 0.006112785695751858, 0.012793842218746508, 0.9731397709753529]]",0.10506446838378908,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.681396484375, 0.68505859375, 0.7177734375, 0.71484375, 0.735107421875, 0.7265625, 0.7099609375, 0.7109375, 0.701171875, 0.67138671875]","[0.533250093460083, 0.5685936212539673, 0.604982852935791, 0.6147400140762329, 0.616676926612854, 0.6121830940246582, 0.604917585849762, 0.59505695104599, 0.5808995366096497, 0.5746065378189087]","[0.1801573634147644, 0.13766808807849884, 0.09138716757297516, 0.08068202435970306, 0.07471619546413422, 0.0785946324467659, 0.08670789003372192, 0.09043093025684357, 0.1097252294421196, 0.12977127730846405]","[0.16721311211585999, 0.13029712438583374, 0.09042861312627792, 0.07963861525058746, 0.07204343378543854, 0.074252650141716, 0.08125707507133484, 0.08489297330379486, 0.10157682746648788, 0.12311156839132309]","[0.17558890581130981, 0.15231287479400635, 0.11673751473426819, 0.10768207907676697, 0.10263163596391678, 0.10303789377212524, 0.10649992525577545, 0.113946333527565, 0.12873561680316925, 0.14134472608566284]"
4,"[0.9867830480639376, 0.013186836788287368, 3.0114228761716865e-05, 9.190133289098164e-10]",0.99,"[[1.0, -0.0005084912991151214, 0.030851935967803, -0.029157893732190132], [1.0, -0.23583708703517914, -2.348829507827759, 1.7162108421325684], [1.0, -0.7210590839385986, -1.5265498161315918, -1.9596105813980103], [1.0, -1.043879747390747, 0.013949032872915268, -0.01441963855177164]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.4828088879585266, 0.0], [0.0, 0.0, 0.0, 0.4358814060688019]]","[[0.9867830276489258, 0.013186836615204811, 3.0114228138700128e-05, 9.190133098968545e-10], [0.9530087113380432, 0.007294266950339079, -0.00073099514702335, -0.959571897983551], [0.27958425879478455, -0.2657155990600586, -0.2385246753692627, 0.22465594112873077], [-0.06325779855251312, 0.21164470911026, -0.3253093659877777, 0.1769224852323532]]","[[0.9912718390211143, 0.006535300351512861, 0.0006119982269123785, 0.0015808624004604796], [0.3998963065567104, 0.47113860085283993, 0.027343931193151205, 0.10162116139729849], [0.1544488720224792, 0.02304270568260681, 0.4542177769838273, 0.36829064531108663], [0.0041853146273919525, 0.002528882556360533, 0.0012238098828676667, 0.9920619929333798]]",0.10019589166550917,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.978271484375, 0.97802734375, 0.9755859375, 0.97998046875, 0.98046875, 0.948486328125, 0.9033203125, 0.91943359375, 0.9755859375, 0.984619140625]","[0.5211153030395508, 0.529534101486206, 0.5512151718139648, 0.6036641597747803, 0.6904850006103516, 0.775054931640625, 0.8442834615707397, 0.9057896733283997, 0.9514646530151367, 0.9591864347457886]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5273543000221252, 0.5211379528045654, 0.5032156705856323, 0.4552313983440399, 0.3711126148700714, 0.28554603457450867, 0.21715101599693298, 0.1639115959405899, 0.12574359774589539, 0.1191760003566742]"
4,"[0.9867830480639376, 0.013186836788287368, 3.0114228761716865e-05, 9.190133289098164e-10]",0.99,"[[1.0, -0.0005084912991151214, 0.030851935967803, -0.029157893732190132], [1.0, -0.23583708703517914, -2.348829507827759, 1.7162108421325684], [1.0, -0.7210590839385986, -1.5265498161315918, -1.9596105813980103], [1.0, -1.043879747390747, 0.013949032872915268, -0.01441963855177164]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, 0.4828088879585266, 0.0], [0.0, 0.0, 0.0, 0.4358814060688019]]","[[0.9867830276489258, 0.013186836615204811, 3.0114228138700128e-05, 9.190133098968545e-10], [0.9530087113380432, 0.007294266950339079, -0.00073099514702335, -0.959571897983551], [0.27958425879478455, -0.2657155990600586, -0.2385246753692627, 0.22465594112873077], [-0.06325779855251312, 0.21164470911026, -0.3253093659877777, 0.1769224852323532]]","[[0.9912718390211143, 0.006535300351512861, 0.0006119982269123785, 0.0015808624004604796], [0.3998963065567104, 0.47113860085283993, 0.027343931193151205, 0.10162116139729849], [0.1544488720224792, 0.02304270568260681, 0.4542177769838273, 0.36829064531108663], [0.0041853146273919525, 0.002528882556360533, 0.0012238098828676667, 0.9920619929333798]]",0.10019589166550917,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.901611328125, 0.903564453125, 0.875732421875, 0.91455078125, 0.92578125, 0.93603515625, 0.929931640625, 0.92626953125, 0.92578125, 0.935791015625]","[0.525601863861084, 0.5739870071411133, 0.6502652764320374, 0.7806483507156372, 0.8470317125320435, 0.8620966672897339, 0.8522284030914307, 0.8415975570678711, 0.8391208648681641, 0.8459683060646057]","[0.8406752347946167, 0.7212684154510498, 0.5614410638809204, 0.2947651147842407, 0.15859442949295044, 0.11658670008182526, 0.11483773589134216, 0.12608851492404938, 0.13199478387832642, 0.12866342067718506]","[0.48726963996887207, 0.41944897174835205, 0.33540427684783936, 0.18695169687271118, 0.11429710686206818, 0.082550048828125, 0.08068735897541046, 0.08764908462762833, 0.08983804285526276, 0.09021613001823425]","[0.3845733404159546, 0.34325504302978516, 0.2690246105194092, 0.16723114252090454, 0.10980775952339172, 0.0897761657834053, 0.0899539589881897, 0.1001347228884697, 0.1032966673374176, 0.10310817509889603]"
